gid	tissue1	sexbias	gid2	tissue2	sexbias2	direction
TRINITY_DN116369_c0_g1_i1	Gonad	female	TRINITY_DN116369_c0_g1_i1	G46	female	no
TRINITY_DN116391_c0_g1_i1	Gonad	female	TRINITY_DN116391_c0_g1_i1	G46	female	no
TRINITY_DN116451_c0_g2_i3	Gonad	female	TRINITY_DN116451_c0_g2_i3	G46	female	no
TRINITY_DN116543_c0_g2_i1	Gonad	female	TRINITY_DN116543_c0_g2_i1	G46	female	no
TRINITY_DN116557_c0_g1_i2	Gonad	female	TRINITY_DN116557_c0_g1_i2	G46	female	no
TRINITY_DN116594_c0_g1_i1	Gonad	female	TRINITY_DN116594_c0_g1_i1	G46	female	no
TRINITY_DN116617_c0_g2_i3	Gonad	female	TRINITY_DN116617_c0_g2_i3	G46	female	no
TRINITY_DN116647_c0_g1_i2	Gonad	female	TRINITY_DN116647_c0_g1_i2	G46	female	no
TRINITY_DN116651_c0_g1_i3	Gonad	female	TRINITY_DN116651_c0_g1_i3	G46	female	no
TRINITY_DN116684_c0_g2_i1	Gonad	female	TRINITY_DN116684_c0_g2_i1	G46	female	no
TRINITY_DN116737_c1_g1_i2	Gonad	female	TRINITY_DN116737_c1_g1_i2	G46	female	no
TRINITY_DN116762_c0_g1_i1	Gonad	female	TRINITY_DN116762_c0_g1_i1	G46	female	no
TRINITY_DN116802_c0_g2_i1	Gonad	female	TRINITY_DN116802_c0_g2_i1	G46	female	no
TRINITY_DN116819_c1_g1_i1	Gonad	female	TRINITY_DN116819_c1_g1_i1	G46	female	no
TRINITY_DN116854_c0_g1_i3	Gonad	female	TRINITY_DN116854_c0_g1_i3	G46	female	no
TRINITY_DN116899_c0_g1_i3	Gonad	female	TRINITY_DN116899_c0_g1_i3	G46	female	no
TRINITY_DN116903_c1_g2_i3	Gonad	female	TRINITY_DN116903_c1_g2_i3	G46	female	no
TRINITY_DN116915_c0_g1_i3	Gonad	female	TRINITY_DN116915_c0_g1_i3	G46	female	no
TRINITY_DN116961_c0_g1_i1	Gonad	female	TRINITY_DN116961_c0_g1_i1	G46	female	no
TRINITY_DN116963_c0_g1_i1	Gonad	female	TRINITY_DN116963_c0_g1_i1	G46	female	no
TRINITY_DN116971_c0_g2_i1	Gonad	female	TRINITY_DN116971_c0_g2_i1	G46	female	no
TRINITY_DN117075_c0_g1_i1	Gonad	female	TRINITY_DN117075_c0_g1_i1	G46	female	no
TRINITY_DN117098_c1_g2_i2	Gonad	female	TRINITY_DN117098_c1_g2_i2	G46	female	no
TRINITY_DN117099_c0_g2_i1	Gonad	female	TRINITY_DN117099_c0_g2_i1	G46	female	no
TRINITY_DN117117_c1_g1_i2	Gonad	female	TRINITY_DN117117_c1_g1_i2	G46	female	no
TRINITY_DN117125_c0_g1_i1	Gonad	female	TRINITY_DN117125_c0_g1_i1	G46	female	no
TRINITY_DN117152_c0_g3_i2	Gonad	female	TRINITY_DN117152_c0_g3_i2	G46	female	no
TRINITY_DN117189_c0_g2_i1	Gonad	female	TRINITY_DN117189_c0_g2_i1	G46	female	no
TRINITY_DN117235_c0_g3_i1	Gonad	female	TRINITY_DN117235_c0_g3_i1	G46	female	no
TRINITY_DN117317_c1_g2_i1	Gonad	female	TRINITY_DN117317_c1_g2_i1	G46	female	no
TRINITY_DN117330_c0_g1_i2	Gonad	female	TRINITY_DN117330_c0_g1_i2	G46	female	no
TRINITY_DN117339_c0_g2_i1	Gonad	female	TRINITY_DN117339_c0_g2_i1	G46	female	no
TRINITY_DN117404_c0_g1_i1	Gonad	female	TRINITY_DN117404_c0_g1_i1	G46	female	no
TRINITY_DN117619_c0_g1_i1	Gonad	female	TRINITY_DN117619_c0_g1_i1	G46	female	no
TRINITY_DN117624_c0_g1_i1	Gonad	female	TRINITY_DN117624_c0_g1_i1	G46	female	no
TRINITY_DN117639_c0_g2_i1	Gonad	female	TRINITY_DN117639_c0_g2_i1	G46	female	no
TRINITY_DN117651_c0_g1_i7	Gonad	female	TRINITY_DN117651_c0_g1_i7	G46	female	no
TRINITY_DN117665_c0_g2_i1	Gonad	female	TRINITY_DN117665_c0_g2_i1	G46	female	no
TRINITY_DN117706_c0_g2_i2	Gonad	female	TRINITY_DN117706_c0_g2_i2	G46	female	no
TRINITY_DN117724_c0_g1_i1	Gonad	female	TRINITY_DN117724_c0_g1_i1	G46	female	no
TRINITY_DN117785_c0_g2_i1	Gonad	female	TRINITY_DN117785_c0_g2_i1	G46	female	no
TRINITY_DN117803_c0_g1_i2	Gonad	female	TRINITY_DN117803_c0_g1_i2	G46	female	no
TRINITY_DN117842_c0_g1_i2	Gonad	female	TRINITY_DN117842_c0_g1_i2	G46	female	no
TRINITY_DN117855_c1_g1_i3	Gonad	female	TRINITY_DN117855_c1_g1_i3	G46	female	no
TRINITY_DN117878_c0_g1_i1	Gonad	female	TRINITY_DN117878_c0_g1_i1	G46	female	no
TRINITY_DN117920_c0_g1_i5	Gonad	female	TRINITY_DN117920_c0_g1_i5	G46	female	no
TRINITY_DN118097_c0_g2_i1	Gonad	female	TRINITY_DN118097_c0_g2_i1	G46	female	no
TRINITY_DN118145_c0_g2_i2	Gonad	female	TRINITY_DN118145_c0_g2_i2	G46	female	no
TRINITY_DN118157_c1_g1_i1	Gonad	female	TRINITY_DN118157_c1_g1_i1	G46	female	no
TRINITY_DN118194_c0_g1_i3	Gonad	female	TRINITY_DN118194_c0_g1_i3	G46	female	no
TRINITY_DN118226_c0_g1_i1	Gonad	female	TRINITY_DN118226_c0_g1_i1	G46	female	no
TRINITY_DN118258_c0_g1_i2	Gonad	female	TRINITY_DN118258_c0_g1_i2	G46	female	no
TRINITY_DN118281_c0_g1_i1	Gonad	female	TRINITY_DN118281_c0_g1_i1	G46	female	no
TRINITY_DN118346_c0_g2_i1	Gonad	female	TRINITY_DN118346_c0_g2_i1	G46	female	no
TRINITY_DN118360_c0_g1_i2	Gonad	female	TRINITY_DN118360_c0_g1_i2	G46	female	no
TRINITY_DN118372_c0_g2_i1	Gonad	female	TRINITY_DN118372_c0_g2_i1	G46	female	no
TRINITY_DN118379_c0_g1_i1	Gonad	female	TRINITY_DN118379_c0_g1_i1	G46	female	no
TRINITY_DN118389_c0_g1_i1	Gonad	female	TRINITY_DN118389_c0_g1_i1	G46	female	no
TRINITY_DN118390_c0_g2_i2	Gonad	female	TRINITY_DN118390_c0_g2_i2	G46	female	no
TRINITY_DN118445_c0_g1_i3	Gonad	female	TRINITY_DN118445_c0_g1_i3	G46	female	no
TRINITY_DN118479_c0_g1_i1	Gonad	female	TRINITY_DN118479_c0_g1_i1	G46	female	no
TRINITY_DN118496_c0_g1_i2	Gonad	female	TRINITY_DN118496_c0_g1_i2	G46	female	no
TRINITY_DN118504_c0_g1_i1	Gonad	female	TRINITY_DN118504_c0_g1_i1	G46	female	no
TRINITY_DN118530_c0_g2_i5	Gonad	female	TRINITY_DN118530_c0_g2_i5	G46	female	no
TRINITY_DN118554_c3_g1_i4	Gonad	female	TRINITY_DN118554_c3_g1_i4	G46	female	no
TRINITY_DN118556_c0_g1_i2	Gonad	female	TRINITY_DN118556_c0_g1_i2	G46	female	no
TRINITY_DN118604_c0_g1_i1	Gonad	female	TRINITY_DN118604_c0_g1_i1	G46	female	no
TRINITY_DN118609_c0_g1_i1	Gonad	female	TRINITY_DN118609_c0_g1_i1	G46	female	no
TRINITY_DN118628_c0_g2_i3	Gonad	female	TRINITY_DN118628_c0_g2_i3	G46	female	no
TRINITY_DN118644_c0_g1_i1	Gonad	female	TRINITY_DN118644_c0_g1_i1	G46	female	no
TRINITY_DN118661_c0_g2_i1	Gonad	female	TRINITY_DN118661_c0_g2_i1	G46	female	no
TRINITY_DN118755_c0_g1_i1	Gonad	female	TRINITY_DN118755_c0_g1_i1	G46	female	no
TRINITY_DN118793_c0_g1_i1	Gonad	female	TRINITY_DN118793_c0_g1_i1	G46	female	no
TRINITY_DN118855_c1_g1_i1	Gonad	female	TRINITY_DN118855_c1_g1_i1	G46	female	no
TRINITY_DN118875_c0_g2_i1	Gonad	female	TRINITY_DN118875_c0_g2_i1	G46	female	no
TRINITY_DN118908_c1_g2_i2	Gonad	female	TRINITY_DN118908_c1_g2_i2	G46	female	no
TRINITY_DN118925_c0_g1_i1	Gonad	female	TRINITY_DN118925_c0_g1_i1	G46	female	no
TRINITY_DN118933_c2_g2_i1	Gonad	female	TRINITY_DN118933_c2_g2_i1	G46	female	no
TRINITY_DN118958_c0_g1_i1	Gonad	female	TRINITY_DN118958_c0_g1_i1	G46	female	no
TRINITY_DN118968_c0_g1_i1	Gonad	female	TRINITY_DN118968_c0_g1_i1	G46	female	no
TRINITY_DN118995_c0_g1_i2	Gonad	female	TRINITY_DN118995_c0_g1_i2	G46	female	no
TRINITY_DN119035_c0_g1_i2	Gonad	female	TRINITY_DN119035_c0_g1_i2	G46	female	no
TRINITY_DN119069_c0_g1_i2	Gonad	female	TRINITY_DN119069_c0_g1_i2	G46	female	no
TRINITY_DN119100_c0_g1_i2	Gonad	female	TRINITY_DN119100_c0_g1_i2	G46	female	no
TRINITY_DN119102_c3_g7_i5	Gonad	female	TRINITY_DN119102_c3_g7_i5	G46	female	no
TRINITY_DN119122_c0_g1_i3	Gonad	female	TRINITY_DN119122_c0_g1_i3	G46	female	no
TRINITY_DN119209_c1_g2_i1	Gonad	female	TRINITY_DN119209_c1_g2_i1	G46	female	no
TRINITY_DN119243_c0_g1_i3	Gonad	female	TRINITY_DN119243_c0_g1_i3	G46	female	no
TRINITY_DN119257_c0_g1_i1	Gonad	female	TRINITY_DN119257_c0_g1_i1	G46	female	no
TRINITY_DN119274_c0_g1_i1	Gonad	female	TRINITY_DN119274_c0_g1_i1	G46	female	no
TRINITY_DN119288_c0_g1_i2	Gonad	female	TRINITY_DN119288_c0_g1_i2	G46	female	no
TRINITY_DN119356_c0_g1_i1	Gonad	female	TRINITY_DN119356_c0_g1_i1	G46	female	no
TRINITY_DN119403_c0_g1_i1	Gonad	female	TRINITY_DN119403_c0_g1_i1	G46	female	no
TRINITY_DN119467_c0_g1_i2	Gonad	female	TRINITY_DN119467_c0_g1_i2	G46	female	no
TRINITY_DN119475_c1_g2_i1	Gonad	female	TRINITY_DN119475_c1_g2_i1	G46	female	no
TRINITY_DN119480_c0_g1_i1	Gonad	female	TRINITY_DN119480_c0_g1_i1	G46	female	no
TRINITY_DN119494_c0_g1_i1	Gonad	female	TRINITY_DN119494_c0_g1_i1	G46	female	no
TRINITY_DN119499_c0_g1_i1	Gonad	female	TRINITY_DN119499_c0_g1_i1	G46	female	no
TRINITY_DN119509_c1_g3_i5	Gonad	female	TRINITY_DN119509_c1_g3_i5	G46	female	no
TRINITY_DN119521_c1_g1_i5	Gonad	female	TRINITY_DN119521_c1_g1_i5	G46	female	no
TRINITY_DN119528_c0_g1_i3	Gonad	female	TRINITY_DN119528_c0_g1_i3	G46	female	no
TRINITY_DN119678_c0_g1_i2	Gonad	female	TRINITY_DN119678_c0_g1_i2	G46	female	no
TRINITY_DN119683_c0_g3_i1	Gonad	female	TRINITY_DN119683_c0_g3_i1	G46	female	no
TRINITY_DN119703_c0_g1_i2	Gonad	female	TRINITY_DN119703_c0_g1_i2	G46	female	no
TRINITY_DN119760_c0_g1_i4	Gonad	female	TRINITY_DN119760_c0_g1_i4	G46	female	no
TRINITY_DN119778_c1_g2_i2	Gonad	female	TRINITY_DN119778_c1_g2_i2	G46	female	no
TRINITY_DN119780_c1_g3_i5	Gonad	female	TRINITY_DN119780_c1_g3_i5	G46	female	no
TRINITY_DN119793_c0_g1_i1	Gonad	female	TRINITY_DN119793_c0_g1_i1	G46	female	no
TRINITY_DN119807_c0_g1_i4	Gonad	female	TRINITY_DN119807_c0_g1_i4	G46	female	no
TRINITY_DN119914_c0_g1_i4	Gonad	female	TRINITY_DN119914_c0_g1_i4	G46	female	no
TRINITY_DN119941_c0_g1_i2	Gonad	female	TRINITY_DN119941_c0_g1_i2	G46	female	no
TRINITY_DN120000_c0_g1_i1	Gonad	female	TRINITY_DN120000_c0_g1_i1	G46	female	no
TRINITY_DN120007_c0_g1_i4	Gonad	female	TRINITY_DN120007_c0_g1_i4	G46	female	no
TRINITY_DN120025_c0_g1_i4	Gonad	female	TRINITY_DN120025_c0_g1_i4	G46	female	no
TRINITY_DN120030_c0_g1_i1	Gonad	female	TRINITY_DN120030_c0_g1_i1	G46	female	no
TRINITY_DN120059_c0_g2_i1	Gonad	female	TRINITY_DN120059_c0_g2_i1	G46	female	no
TRINITY_DN120071_c0_g1_i2	Gonad	female	TRINITY_DN120071_c0_g1_i2	G46	female	no
TRINITY_DN120102_c0_g1_i2	Gonad	female	TRINITY_DN120102_c0_g1_i2	G46	female	no
TRINITY_DN120113_c0_g1_i3	Gonad	female	TRINITY_DN120113_c0_g1_i3	G46	female	no
TRINITY_DN120130_c0_g1_i3	Gonad	female	TRINITY_DN120130_c0_g1_i3	G46	female	no
TRINITY_DN120148_c0_g1_i3	Gonad	female	TRINITY_DN120148_c0_g1_i3	G46	female	no
TRINITY_DN120161_c0_g2_i9	Gonad	female	TRINITY_DN120161_c0_g2_i9	G46	female	no
TRINITY_DN120254_c0_g1_i1	Gonad	female	TRINITY_DN120254_c0_g1_i1	G46	female	no
TRINITY_DN120272_c0_g3_i2	Gonad	female	TRINITY_DN120272_c0_g3_i2	G46	female	no
TRINITY_DN120335_c0_g1_i2	Gonad	female	TRINITY_DN120335_c0_g1_i2	G46	female	no
TRINITY_DN120396_c0_g1_i4	Gonad	female	TRINITY_DN120396_c0_g1_i4	G46	female	no
TRINITY_DN120402_c0_g1_i4	Gonad	female	TRINITY_DN120402_c0_g1_i4	G46	female	no
TRINITY_DN120407_c0_g2_i1	Gonad	female	TRINITY_DN120407_c0_g2_i1	G46	female	no
TRINITY_DN120415_c0_g1_i1	Gonad	female	TRINITY_DN120415_c0_g1_i1	G46	female	no
TRINITY_DN120445_c0_g1_i1	Gonad	female	TRINITY_DN120445_c0_g1_i1	G46	female	no
TRINITY_DN120457_c0_g1_i2	Gonad	female	TRINITY_DN120457_c0_g1_i2	G46	female	no
