gid	log2RPKM	sex	cutoff
TRINITY_DN59305_c0_g1_i1	1.592674866	meanfemale	FC1
TRINITY_DN132176_c6_g1_i1	3.038077122	meanfemale	FC1
TRINITY_DN135638_c10_g1_i1	-1.274600638	meanfemale	FC1
TRINITY_DN93628_c0_g1_i1	1.807575739	meanfemale	FC1
TRINITY_DN118037_c0_g1_i1	1.327221457	meanfemale	FC1
TRINITY_DN131144_c0_g5_i1	4.350976558	meanfemale	FC1
TRINITY_DN124971_c4_g3_i1	8.447760413	meanfemale	FC1
TRINITY_DN119671_c0_g2_i1	6.082215288	meanfemale	FC1
TRINITY_DN125819_c0_g7_i4	3.658146938	meanfemale	FC1
TRINITY_DN133317_c0_g2_i7	6.41359072	meanfemale	FC1
TRINITY_DN129251_c2_g1_i5	10.65154434	meanfemale	FC1
TRINITY_DN132137_c3_g3_i1	4.198741153	meanfemale	FC1
TRINITY_DN120232_c0_g1_i1	5.458175492	meanfemale	FC1
TRINITY_DN134398_c2_g2_i2	5.472279791	meanfemale	FC1
TRINITY_DN131144_c0_g3_i1	3.449577183	meanfemale	FC1
TRINITY_DN125191_c7_g1_i1	1.478759238	meanfemale	FC1
TRINITY_DN114003_c0_g1_i1	3.524661511	meanfemale	FC1
TRINITY_DN120237_c0_g2_i1	4.573920724	meanfemale	FC1
TRINITY_DN129698_c3_g1_i2	1.381268282	meanfemale	FC1
TRINITY_DN128547_c9_g1_i2	-1.793966677	meanfemale	FC1
TRINITY_DN133763_c2_g2_i1	5.142577522	meanfemale	FC1
TRINITY_DN130095_c2_g1_i1	2.014875311	meanfemale	FC1
TRINITY_DN115622_c0_g2_i1	2.994853336	meanfemale	FC1
TRINITY_DN121821_c2_g2_i4	1.26604201	meanfemale	FC1
TRINITY_DN113202_c0_g1_i1	3.353467985	meanfemale	FC1
TRINITY_DN119647_c0_g2_i1	4.142938533	meanfemale	FC1
TRINITY_DN116909_c0_g1_i3	1.534858297	meanfemale	FC1
TRINITY_DN130008_c0_g2_i4	1.536039241	meanfemale	FC1
TRINITY_DN130045_c0_g3_i2	3.217441878	meanfemale	FC1
TRINITY_DN122018_c0_g2_i1	1.36153585	meanfemale	FC1
TRINITY_DN112720_c0_g1_i1	0.945327176	meanfemale	FC1
TRINITY_DN109189_c0_g1_i1	-0.777314709	meanfemale	FC1
TRINITY_DN112525_c0_g1_i1	1.713367431	meanfemale	FC1
TRINITY_DN131346_c3_g1_i2	1.135745795	meanfemale	FC1
TRINITY_DN116300_c0_g1_i1	1.880872255	meanfemale	FC1
TRINITY_DN117920_c0_g1_i5	1.55409488	meanfemale	FC1
TRINITY_DN133435_c0_g5_i1	-0.151818791	meanfemale	FC1
TRINITY_DN87581_c0_g1_i1	-0.210461113	meanfemale	FC1
TRINITY_DN129964_c1_g5_i2	-0.761771593	meanfemale	FC1
TRINITY_DN132978_c0_g1_i2	-1.385557076	meanfemale	FC1
TRINITY_DN142384_c0_g1_i1	1.874618761	meanfemale	FC1
TRINITY_DN127904_c4_g1_i1	-1.127631283	meanfemale	FC1
TRINITY_DN96852_c0_g2_i1	2.325446395	meanfemale	FC1
TRINITY_DN129489_c0_g1_i5	-1.93316244	meanfemale	FC1
TRINITY_DN121831_c0_g1_i1	6.422591535	meanfemale	FC1
TRINITY_DN124874_c1_g1_i1	-1.717906586	meanfemale	FC1
TRINITY_DN123466_c0_g1_i2	-1.932147617	meanfemale	FC1
TRINITY_DN129430_c0_g1_i1	1.853467292	meanfemale	FC1
TRINITY_DN93825_c0_g1_i2	-1.492022591	meanfemale	FC1
TRINITY_DN122892_c0_g1_i1	-0.532642151	meanfemale	FC3
TRINITY_DN117521_c0_g1_i1	-2.072955587	meanfemale	FC3
TRINITY_DN121044_c0_g1_i1	-0.292681933	meanfemale	FC3
TRINITY_DN130177_c4_g1_i1	-3.668101324	meanfemale	FC3
TRINITY_DN130651_c1_g2_i1	1.215305907	meanfemale	FC3
TRINITY_DN127236_c4_g6_i1	2.388172325	meanfemale	FC3
TRINITY_DN129354_c0_g1_i2	-3.727176971	meanfemale	FC3
TRINITY_DN130291_c2_g1_i1	-2.739503042	meanfemale	FC3
TRINITY_DN124380_c13_g1_i1	-2.121898711	meanfemale	FC3
TRINITY_DN123704_c2_g4_i2	-1.673638037	meanfemale	FC3
TRINITY_DN128940_c2_g1_i1	-1.640940048	meanfemale	FC3
TRINITY_DN134012_c5_g2_i1	-1.3267073	meanfemale	FC5
TRINITY_DN113348_c0_g3_i1	-1.969122368	meanfemale	FC5
TRINITY_DN179330_c0_g1_i1	-1.585150683	meanfemale	FC5
TRINITY_DN126089_c1_g1_i2	-3.902217298	meanfemale	FC5
TRINITY_DN131507_c1_g1_i1	-7.481090378	meanfemale	FC7
TRINITY_DN135864_c0_g11_i1	-13.28771238	meanfemale	FC7
