"gid"	"log2RPKM"	"sex"	"bias"
"TRINITY_DN123024_c0_g1_i1"	-4.453161995	"meanmale"	"female"
"TRINITY_DN123718_c0_g4_i1"	-5.024867659	"meanmale"	"female"
"TRINITY_DN114038_c0_g1_i2"	-4.362232122	"meanmale"	"female"
"TRINITY_DN128402_c0_g1_i2"	3.128536287	"meanmale"	"female"
"TRINITY_DN132701_c0_g4_i1"	-1.445867344	"meanmale"	"female"
"TRINITY_DN135334_c1_g1_i2"	-1.918457675	"meanmale"	"female"
"TRINITY_DN131327_c3_g2_i5"	-2.396344802	"meanmale"	"female"
"TRINITY_DN112124_c0_g2_i1"	-1.782632309	"meanmale"	"female"
"TRINITY_DN121882_c0_g1_i1"	-0.119000105	"meanmale"	"female"
"TRINITY_DN122048_c0_g1_i1"	-5.452297683	"meanmale"	"female"
"TRINITY_DN134939_c7_g2_i1"	-3.489783435	"meanmale"	"female"
"TRINITY_DN131157_c1_g4_i5"	-2.913947093	"meanmale"	"female"
"TRINITY_DN130955_c0_g1_i1"	0.065765667	"meanmale"	"female"
"TRINITY_DN133674_c1_g1_i2"	-4.816381502	"meanmale"	"female"
"TRINITY_DN115129_c0_g1_i3"	-1.833840274	"meanmale"	"female"
"TRINITY_DN74421_c0_g3_i1"	-4.427927185	"meanmale"	"female"
"TRINITY_DN96323_c0_g1_i1"	-5.192274677	"meanmale"	"female"
"TRINITY_DN135175_c3_g2_i2"	-2.594864848	"meanmale"	"female"
"TRINITY_DN125006_c1_g6_i2"	-7.384693397	"meanmale"	"female"
"TRINITY_DN126783_c1_g5_i3"	-1.053436955	"meanmale"	"female"
"TRINITY_DN107487_c0_g1_i1"	-2.581579027	"meanmale"	"female"
"TRINITY_DN134508_c1_g2_i1"	-2.895644266	"meanmale"	"female"
"TRINITY_DN129649_c3_g2_i1"	-1.295599019	"meanmale"	"female"
"TRINITY_DN92825_c0_g3_i1"	-4.760196324	"meanmale"	"female"
"TRINITY_DN131390_c2_g1_i1"	0.780119264	"meanmale"	"female"
"TRINITY_DN131967_c0_g4_i1"	-7.536624753	"meanmale"	"female"
"TRINITY_DN124065_c0_g1_i1"	0.116758119	"meanmale"	"female"
"TRINITY_DN116337_c0_g1_i3"	-2.405590034	"meanmale"	"female"
"TRINITY_DN117740_c0_g1_i2"	-0.212145156	"meanmale"	"female"
"TRINITY_DN110644_c0_g2_i1"	-0.630708121	"meanmale"	"female"
"TRINITY_DN92587_c0_g1_i1"	-5.927124113	"meanmale"	"female"
"TRINITY_DN133129_c0_g1_i1"	-2.703610282	"meanmale"	"female"
"TRINITY_DN165014_c0_g1_i1"	-1.024561106	"meanmale"	"female"
"TRINITY_DN126078_c0_g1_i1"	-2.055925627	"meanmale"	"female"
"TRINITY_DN132822_c6_g2_i1"	-3.303610898	"meanmale"	"female"
"TRINITY_DN128589_c4_g2_i2"	-1.234340901	"meanmale"	"female"
