gid	cutoff	bias	log2RPKM	sex
TRINITY_DN113153_c0_g1_i2	FC1	male	3.528452097	meanmale
TRINITY_DN113178_c0_g1_i2	FC1	male	1.199049503	meanmale
TRINITY_DN113182_c0_g1_i2	FC1	male	6.773954049	meanmale
TRINITY_DN113194_c0_g1_i2	FC1	male	6.576955595	meanmale
TRINITY_DN113222_c0_g1_i1	FC1	male	0.575072668	meanmale
TRINITY_DN113262_c0_g5_i1	FC1	male	1.734336907	meanmale
TRINITY_DN113292_c0_g1_i3	FC1	male	0.000995058	meanmale
TRINITY_DN113336_c0_g1_i1	FC1	male	1.42510923	meanmale
TRINITY_DN113344_c0_g1_i1	FC1	male	1.325608871	meanmale
TRINITY_DN113355_c0_g1_i2	FC1	male	1.651385032	meanmale
TRINITY_DN113379_c0_g1_i1	FC1	male	2.764237646	meanmale
TRINITY_DN113467_c0_g1_i4	FC1	male	3.942303689	meanmale
TRINITY_DN113472_c0_g1_i2	FC1	male	2.11072434	meanmale
TRINITY_DN113473_c0_g1_i2	FC1	male	0.141431321	meanmale
TRINITY_DN113475_c0_g1_i2	FC1	male	2.666941393	meanmale
TRINITY_DN113504_c0_g5_i1	FC1	male	2.432386936	meanmale
TRINITY_DN113511_c0_g2_i1	FC1	male	1.322555676	meanmale
TRINITY_DN113525_c0_g1_i1	FC1	male	3.775100663	meanmale
TRINITY_DN113544_c2_g2_i1	FC1	male	8.11765802	meanmale
TRINITY_DN113610_c0_g1_i1	FC1	male	3.119611962	meanmale
TRINITY_DN113630_c0_g1_i1	FC1	male	3.863933814	meanmale
TRINITY_DN113662_c0_g1_i2	FC1	male	11.24492713	meanmale
TRINITY_DN113676_c0_g3_i1	FC1	male	-0.190623904	meanmale
TRINITY_DN113703_c0_g1_i1	FC1	male	-0.602694116	meanmale
TRINITY_DN113791_c0_g1_i2	FC1	male	7.611003064	meanmale
TRINITY_DN113795_c0_g1_i4	FC1	male	6.354029079	meanmale
TRINITY_DN113796_c0_g2_i1	FC1	male	1.940262783	meanmale
TRINITY_DN113796_c0_g5_i1	FC1	male	3.118402217	meanmale
TRINITY_DN113800_c1_g1_i4	FC1	male	2.867815535	meanmale
TRINITY_DN113836_c0_g1_i1	FC1	male	5.816609533	meanmale
TRINITY_DN113862_c0_g1_i1	FC1	male	2.708171609	meanmale
TRINITY_DN113864_c0_g1_i1	FC1	male	-1.078182599	meanmale
TRINITY_DN114033_c0_g1_i2	FC1	male	3.689854713	meanmale
TRINITY_DN114033_c0_g3_i2	FC1	male	4.542762346	meanmale
TRINITY_DN114035_c0_g2_i1	FC1	male	5.809871275	meanmale
TRINITY_DN114037_c0_g2_i2	FC1	male	2.476837671	meanmale
TRINITY_DN114065_c0_g1_i1	FC1	male	1.553511489	meanmale
TRINITY_DN114069_c0_g1_i1	FC1	male	-1.217453207	meanmale
TRINITY_DN114090_c0_g1_i1	FC1	male	1.047707253	meanmale
TRINITY_DN114109_c0_g1_i1	FC1	male	0.476625036	meanmale
TRINITY_DN114117_c0_g1_i3	FC1	male	1.575980062	meanmale
TRINITY_DN114125_c0_g1_i1	FC1	male	3.083500244	meanmale
TRINITY_DN114141_c0_g2_i1	FC1	male	0.887481125	meanmale
TRINITY_DN114143_c0_g1_i3	FC1	male	2.591904666	meanmale
TRINITY_DN114164_c0_g1_i1	FC1	male	4.099236326	meanmale
TRINITY_DN114222_c0_g1_i1	FC1	male	2.183470883	meanmale
TRINITY_DN114231_c0_g1_i1	FC1	male	2.630397087	meanmale
TRINITY_DN114238_c0_g1_i2	FC1	male	5.167906647	meanmale
TRINITY_DN114241_c0_g1_i1	FC1	male	2.977084286	meanmale
TRINITY_DN114242_c0_g1_i3	FC1	male	11.86906553	meanmale
TRINITY_DN114258_c0_g1_i1	FC1	male	1.976465827	meanmale
TRINITY_DN114267_c0_g1_i2	FC1	male	3.476509842	meanmale
TRINITY_DN114283_c0_g2_i2	FC1	male	2.358468974	meanmale
TRINITY_DN114311_c0_g4_i2	FC1	male	0.052211458	meanmale
TRINITY_DN114327_c0_g1_i1	FC1	male	2.17572188	meanmale
TRINITY_DN114355_c0_g1_i1	FC1	male	6.349327482	meanmale
TRINITY_DN114357_c0_g1_i1	FC1	male	6.233089227	meanmale
TRINITY_DN114373_c0_g1_i1	FC1	male	-0.14217382	meanmale
TRINITY_DN114398_c0_g1_i2	FC1	male	4.397392281	meanmale
TRINITY_DN114439_c1_g1_i1	FC1	male	3.76412247	meanmale
TRINITY_DN114440_c1_g2_i1	FC1	male	3.523206266	meanmale
TRINITY_DN114469_c0_g1_i3	FC1	male	4.323038982	meanmale
TRINITY_DN114469_c0_g2_i1	FC1	male	4.911323811	meanmale
TRINITY_DN114496_c0_g1_i1	FC1	male	2.317221403	meanmale
TRINITY_DN114532_c0_g1_i3	FC1	male	1.768222956	meanmale
TRINITY_DN114534_c0_g1_i2	FC1	male	0.673250292	meanmale
TRINITY_DN114548_c0_g1_i2	FC1	male	0.720386769	meanmale
TRINITY_DN114549_c0_g1_i2	FC1	male	2.975310028	meanmale
TRINITY_DN114576_c0_g1_i1	FC1	male	8.752044566	meanmale
TRINITY_DN114599_c0_g1_i2	FC1	male	1.829641367	meanmale
TRINITY_DN114606_c0_g2_i1	FC1	male	2.327661545	meanmale
TRINITY_DN114631_c0_g1_i1	FC1	male	3.257483551	meanmale
TRINITY_DN114634_c0_g1_i1	FC1	male	3.54620783	meanmale
TRINITY_DN114637_c0_g1_i1	FC1	male	0.971086519	meanmale
TRINITY_DN114671_c0_g1_i1	FC1	male	0.048739417	meanmale
TRINITY_DN114680_c0_g1_i1	FC1	male	1.704598449	meanmale
TRINITY_DN114687_c1_g1_i1	FC1	male	3.114200565	meanmale
TRINITY_DN114715_c1_g1_i2	FC1	male	3.278499404	meanmale
TRINITY_DN114765_c0_g1_i1	FC1	male	1.993507559	meanmale
TRINITY_DN114821_c0_g1_i1	FC1	male	5.097472199	meanmale
TRINITY_DN114841_c0_g1_i1	FC1	male	0.568856656	meanmale
TRINITY_DN114848_c0_g1_i2	FC1	male	4.24821172	meanmale
TRINITY_DN114897_c0_g1_i1	FC1	male	3.026846935	meanmale
TRINITY_DN114927_c0_g2_i3	FC1	male	-1.175000816	meanmale
TRINITY_DN114996_c0_g2_i1	FC1	male	-0.185246094	meanmale
TRINITY_DN115005_c0_g1_i2	FC1	male	5.446712801	meanmale
TRINITY_DN115006_c1_g1_i1	FC1	male	3.641651883	meanmale
TRINITY_DN115021_c0_g1_i1	FC1	male	3.506618185	meanmale
TRINITY_DN115041_c0_g1_i2	FC1	male	6.36709392	meanmale
TRINITY_DN115044_c0_g1_i1	FC1	male	0.707505316	meanmale
TRINITY_DN115069_c0_g2_i1	FC1	male	-0.368761228	meanmale
TRINITY_DN115092_c4_g3_i1	FC1	male	2.37499197	meanmale
TRINITY_DN115114_c1_g1_i1	FC1	male	1.963175502	meanmale
TRINITY_DN115117_c0_g1_i1	FC1	male	0.307991631	meanmale
TRINITY_DN115231_c0_g1_i2	FC1	male	5.875227802	meanmale
TRINITY_DN115251_c0_g1_i2	FC1	male	2.756906291	meanmale
TRINITY_DN115252_c0_g2_i1	FC1	male	2.583764864	meanmale
TRINITY_DN115257_c0_g1_i2	FC1	male	3.501041826	meanmale
TRINITY_DN115257_c0_g2_i10	FC1	male	3.213086904	meanmale
TRINITY_DN115257_c0_g3_i1	FC1	male	2.3318297	meanmale
TRINITY_DN115284_c0_g1_i1	FC1	male	3.188801989	meanmale
TRINITY_DN115289_c0_g1_i3	FC1	male	3.985345459	meanmale
TRINITY_DN115324_c0_g1_i4	FC1	male	3.994344559	meanmale
TRINITY_DN115332_c0_g1_i1	FC1	male	2.068995893	meanmale
TRINITY_DN115353_c0_g1_i3	FC1	male	7.568209088	meanmale
TRINITY_DN115366_c0_g1_i1	FC1	male	2.871046858	meanmale
TRINITY_DN115391_c0_g1_i1	FC1	male	0.866885938	meanmale
TRINITY_DN115412_c0_g2_i1	FC1	male	9.408926826	meanmale
TRINITY_DN115447_c0_g1_i1	FC1	male	1.207325771	meanmale
TRINITY_DN115465_c1_g1_i3	FC1	male	3.670216801	meanmale
TRINITY_DN115484_c0_g1_i2	FC1	male	0.957047532	meanmale
TRINITY_DN115486_c0_g1_i3	FC1	male	4.298828674	meanmale
TRINITY_DN115508_c0_g1_i1	FC1	male	3.729710226	meanmale
TRINITY_DN115524_c0_g1_i3	FC1	male	1.976257808	meanmale
TRINITY_DN115530_c0_g1_i1	FC1	male	2.671781351	meanmale
TRINITY_DN115562_c0_g2_i2	FC1	male	0.083990262	meanmale
TRINITY_DN115563_c0_g1_i1	FC1	male	4.617348762	meanmale
TRINITY_DN115584_c0_g1_i1	FC1	male	4.954944182	meanmale
TRINITY_DN115590_c0_g1_i2	FC1	male	0.497987261	meanmale
TRINITY_DN115610_c0_g1_i1	FC1	male	0.778699341	meanmale
TRINITY_DN115612_c0_g1_i1	FC1	male	1.953726482	meanmale
TRINITY_DN115636_c1_g1_i1	FC1	male	2.555169927	meanmale
TRINITY_DN115659_c0_g1_i2	FC1	male	0.764363247	meanmale
TRINITY_DN115660_c1_g1_i1	FC1	male	1.834509681	meanmale
TRINITY_DN115668_c0_g1_i1	FC1	male	4.963028038	meanmale
TRINITY_DN115675_c0_g1_i3	FC1	male	2.865275959	meanmale
