gid	logFC.XYtestis.XXovary	cutoff	co_sb	meanXY
TRINITY_DN98815_c0_g2_i1	-7.733529179	7	female	2.262715881
TRINITY_DN124938_c5_g3_i1	-7.718036003	7	female	NA
TRINITY_DN128648_c7_g2_i1	-7.710421518	7	female	-0.034204221
TRINITY_DN111236_c0_g1_i1	-7.709480933	7	female	0.022393998
TRINITY_DN122009_c0_g1_i1	-7.708177059	7	female	-1.18712849
TRINITY_DN110915_c0_g1_i1	-7.68417441	7	female	NA
TRINITY_DN135585_c3_g1_i1	-7.680152917	7	female	-2.585843921
TRINITY_DN119839_c0_g5_i2	-7.675342017	7	female	NA
TRINITY_DN110644_c0_g1_i1	-7.673189666	7	female	NA
TRINITY_DN90720_c0_g1_i1	-7.672847958	7	female	NA
TRINITY_DN115522_c0_g1_i1	-7.656875798	7	female	NA
TRINITY_DN128020_c1_g1_i1	-7.652571172	7	female	-2.243271088
TRINITY_DN123024_c0_g1_i1	-7.63340557	7	female	NA
TRINITY_DN123718_c0_g4_i1	-7.612375219	7	female	NA
TRINITY_DN114038_c0_g1_i2	-7.595701555	7	female	NA
TRINITY_DN128402_c0_g1_i2	-7.589252032	7	female	2.193971283
TRINITY_DN132701_c0_g4_i1	-7.577585305	7	female	-1.58808992
TRINITY_DN135334_c1_g1_i2	-7.577298492	7	female	NA
TRINITY_DN131327_c3_g2_i5	-7.574085286	7	female	-2.549033791
TRINITY_DN112124_c0_g2_i1	-7.56487264	7	female	-2.257906769
TRINITY_DN121882_c0_g1_i1	-7.562185628	7	female	-0.405323457
TRINITY_DN122048_c0_g1_i1	-7.552372127	7	female	NA
TRINITY_DN134939_c7_g2_i1	-7.545689873	7	female	NA
TRINITY_DN131157_c1_g4_i5	-7.540570473	7	female	-3.177696679
TRINITY_DN130955_c0_g1_i1	-7.537252204	7	female	-0.091859586
TRINITY_DN133674_c1_g1_i2	-7.508819361	7	female	NA
TRINITY_DN115129_c0_g1_i3	-7.496966992	7	female	-1.97446968
