gid	log2RPKM	sex	cutoff
TRINITY_DN110181_c0_g1_i1	1.099991167	meanfemale	FC1
TRINITY_DN120010_c0_g1_i1	1.527838617	meanfemale	FC1
TRINITY_DN128941_c3_g5_i2	4.467200843	meanfemale	FC1
TRINITY_DN126424_c0_g2_i6	0.11849064	meanfemale	FC1
TRINITY_DN136124_c0_g1_i1	1.210276658	meanfemale	FC1
TRINITY_DN129648_c0_g1_i3	2.471956478	meanfemale	FC1
TRINITY_DN131848_c0_g1_i3	1.547495445	meanfemale	FC1
TRINITY_DN132634_c5_g2_i2	5.426887362	meanfemale	FC1
TRINITY_DN130770_c0_g2_i2	2.296924569	meanfemale	FC1
TRINITY_DN106189_c0_g2_i1	2.079573943	meanfemale	FC1
TRINITY_DN135861_c3_g9_i3	1.67177596	meanfemale	FC1
TRINITY_DN131236_c0_g1_i1	-0.379065288	meanfemale	FC1
TRINITY_DN126295_c0_g1_i7	0.990721758	meanfemale	FC1
TRINITY_DN124181_c0_g1_i1	1.749574454	meanfemale	FC1
TRINITY_DN128381_c1_g3_i2	2.988461346	meanfemale	FC1
TRINITY_DN124049_c5_g2_i1	4.394548241	meanfemale	FC1
TRINITY_DN133577_c1_g4_i3	3.186673497	meanfemale	FC1
TRINITY_DN130646_c1_g1_i2	5.235093537	meanfemale	FC1
TRINITY_DN133247_c2_g3_i5	2.061152678	meanfemale	FC1
TRINITY_DN135178_c0_g12_i1	2.286648955	meanfemale	FC1
TRINITY_DN120340_c2_g4_i4	1.397212294	meanfemale	FC1
TRINITY_DN134451_c0_g1_i4	2.287308088	meanfemale	FC1
TRINITY_DN130792_c5_g2_i3	4.187272658	meanfemale	FC1
TRINITY_DN134330_c0_g1_i3	-0.779501067	meanfemale	FC1
TRINITY_DN119670_c0_g1_i4	4.568739125	meanfemale	FC1
TRINITY_DN134283_c1_g2_i1	1.422261453	meanfemale	FC1
TRINITY_DN133896_c0_g1_i3	1.205202411	meanfemale	FC1
TRINITY_DN181775_c0_g1_i1	0.766366295	meanfemale	FC1
TRINITY_DN122908_c0_g1_i1	1.801509876	meanfemale	FC1
TRINITY_DN125174_c0_g8_i1	3.421038632	meanfemale	FC1
TRINITY_DN135223_c2_g3_i2	2.976247539	meanfemale	FC1
TRINITY_DN135264_c5_g1_i1	1.970476096	meanfemale	FC1
TRINITY_DN132456_c6_g1_i1	3.715405796	meanfemale	FC1
TRINITY_DN130408_c2_g3_i12	3.026942652	meanfemale	FC1
TRINITY_DN136227_c3_g1_i1	0.96097703	meanfemale	FC1
TRINITY_DN136035_c9_g7_i3	2.495508169	meanfemale	FC1
TRINITY_DN130898_c0_g2_i1	1.304651397	meanfemale	FC1
TRINITY_DN126598_c0_g1_i2	2.296757338	meanfemale	FC1
TRINITY_DN136352_c4_g1_i1	6.238823718	meanfemale	FC1
TRINITY_DN132528_c3_g3_i1	1.727387769	meanfemale	FC1
TRINITY_DN133677_c1_g1_i1	0.50237049	meanfemale	FC1
TRINITY_DN121418_c2_g1_i1	5.523265724	meanfemale	FC1
TRINITY_DN130932_c0_g4_i5	5.624441499	meanfemale	FC1
TRINITY_DN2947_c0_g2_i1	4.006904956	meanfemale	FC1
TRINITY_DN130250_c2_g1_i1	4.231372832	meanfemale	FC1
TRINITY_DN134247_c0_g1_i1	-0.086353358	meanfemale	FC1
TRINITY_DN102579_c0_g1_i1	0.647175639	meanfemale	FC1
TRINITY_DN129043_c1_g6_i3	3.358790349	meanfemale	FC1
TRINITY_DN125466_c11_g2_i1	0.983474888	meanfemale	FC1
TRINITY_DN127647_c0_g1_i3	5.842438267	meanfemale	FC1
TRINITY_DN132134_c7_g3_i2	2.925390799	meanfemale	FC1
TRINITY_DN123549_c0_g1_i2	-0.528965108	meanfemale	FC1
TRINITY_DN124731_c3_g1_i2	2.26173812	meanfemale	FC1
TRINITY_DN136488_c1_g26_i1	1.911762597	meanfemale	FC1
TRINITY_DN97438_c0_g1_i1	-0.627815723	meanfemale	FC1
TRINITY_DN114792_c0_g1_i1	1.668836921	meanfemale	FC1
TRINITY_DN132647_c1_g1_i3	0.631824068	meanfemale	FC1
TRINITY_DN122351_c0_g1_i2	-0.144274831	meanfemale	FC1
TRINITY_DN124180_c0_g7_i1	2.357429762	meanfemale	FC1
TRINITY_DN121243_c0_g1_i4	4.72410488	meanfemale	FC1
TRINITY_DN136561_c3_g4_i2	1.769462972	meanfemale	FC1
TRINITY_DN119901_c0_g2_i2	2.86663099	meanfemale	FC1
TRINITY_DN130880_c4_g2_i7	5.11404579	meanfemale	FC1
TRINITY_DN126384_c1_g6_i1	1.219579468	meanfemale	FC1
TRINITY_DN133496_c0_g1_i3	3.058985666	meanfemale	FC1
TRINITY_DN134068_c1_g10_i4	3.44491841	meanfemale	FC1
TRINITY_DN133721_c0_g1_i1	-0.16839457	meanfemale	FC1
TRINITY_DN135164_c2_g1_i3	1.906483349	meanfemale	FC1
TRINITY_DN116643_c1_g1_i1	3.631835515	meanfemale	FC1
TRINITY_DN120395_c0_g1_i1	1.816032907	meanfemale	FC1
TRINITY_DN210686_c0_g1_i1	5.421205735	meanfemale	FC1
TRINITY_DN132304_c3_g1_i6	7.974197987	meanfemale	FC1
TRINITY_DN133357_c2_g3_i2	6.211089981	meanfemale	FC1
TRINITY_DN118874_c0_g1_i1	3.688983641	meanfemale	FC1
TRINITY_DN129108_c0_g5_i7	8.167921815	meanfemale	FC1
TRINITY_DN197948_c0_g1_i1	2.901655548	meanfemale	FC1
TRINITY_DN133616_c0_g1_i1	-0.976094685	meanfemale	FC1
TRINITY_DN135306_c0_g2_i5	3.955955448	meanfemale	FC1
TRINITY_DN125552_c1_g2_i2	2.221756908	meanfemale	FC1
TRINITY_DN123637_c0_g1_i2	-1.098539393	meanfemale	FC1
TRINITY_DN132547_c1_g4_i1	5.421116241	meanfemale	FC1
TRINITY_DN118899_c0_g1_i1	1.656430366	meanfemale	FC1
TRINITY_DN133735_c0_g1_i9	2.292492925	meanfemale	FC1
TRINITY_DN128955_c5_g1_i1	1.177196346	meanfemale	FC1
TRINITY_DN125609_c0_g1_i2	2.021084377	meanfemale	FC1
TRINITY_DN128911_c0_g1_i2	0.062128081	meanfemale	FC1
TRINITY_DN211734_c0_g1_i1	3.319553351	meanfemale	FC1
TRINITY_DN131091_c6_g3_i1	3.135360392	meanfemale	FC1
TRINITY_DN134349_c1_g2_i1	3.057445806	meanfemale	FC1
TRINITY_DN111167_c0_g1_i1	-1.516658091	meanfemale	FC1
TRINITY_DN126878_c0_g1_i1	0.209216446	meanfemale	FC1
TRINITY_DN131133_c0_g1_i1	1.417085864	meanfemale	FC1
TRINITY_DN135877_c0_g2_i3	1.273286945	meanfemale	FC1
TRINITY_DN131259_c12_g3_i1	1.217789325	meanfemale	FC1
TRINITY_DN131760_c0_g1_i4	1.837810499	meanfemale	FC1
TRINITY_DN126267_c3_g1_i1	0.668402955	meanfemale	FC1
TRINITY_DN136279_c3_g2_i1	6.187723115	meanfemale	FC1
TRINITY_DN124076_c2_g2_i3	7.750459647	meanfemale	FC1
TRINITY_DN98218_c0_g1_i2	3.044495037	meanfemale	FC1
TRINITY_DN127994_c1_g1_i1	0.385580134	meanfemale	FC1
TRINITY_DN124623_c3_g3_i1	5.325229339	meanfemale	FC1
TRINITY_DN146124_c0_g1_i1	3.293584989	meanfemale	FC1
TRINITY_DN116347_c0_g1_i1	3.062082349	meanfemale	FC1
TRINITY_DN127548_c0_g6_i3	2.5801348	meanfemale	FC1
TRINITY_DN124346_c9_g1_i1	-0.104850609	meanfemale	FC1
TRINITY_DN124217_c2_g4_i3	2.407852131	meanfemale	FC1
TRINITY_DN135536_c0_g3_i7	2.417060368	meanfemale	FC1
TRINITY_DN100754_c0_g1_i1	3.97052188	meanfemale	FC1
TRINITY_DN115715_c2_g3_i1	6.172122746	meanfemale	FC1
TRINITY_DN121257_c0_g1_i1	1.353004157	meanfemale	FC1
TRINITY_DN131144_c0_g2_i3	3.803649481	meanfemale	FC1
TRINITY_DN129435_c2_g1_i1	0.487773055	meanfemale	FC1
TRINITY_DN132370_c0_g1_i1	0.809259276	meanfemale	FC1
TRINITY_DN134385_c4_g1_i9	0.213216147	meanfemale	FC1
TRINITY_DN124538_c2_g3_i2	-0.026332786	meanfemale	FC1
TRINITY_DN131369_c1_g1_i1	0.267575048	meanfemale	FC1
TRINITY_DN132850_c1_g1_i2	1.231146111	meanfemale	FC1
TRINITY_DN92846_c0_g1_i2	2.314427879	meanfemale	FC1
TRINITY_DN125503_c0_g1_i1	0.200098886	meanfemale	FC1
TRINITY_DN117884_c1_g1_i1	-0.923283956	meanfemale	FC1
TRINITY_DN121797_c0_g1_i2	3.356298136	meanfemale	FC1
TRINITY_DN130164_c2_g10_i1	0.448036405	meanfemale	FC1
TRINITY_DN125272_c0_g1_i3	3.025751043	meanfemale	FC1
TRINITY_DN80005_c0_g2_i1	0.740940637	meanfemale	FC1
TRINITY_DN127966_c0_g1_i3	6.055886674	meanfemale	FC1
TRINITY_DN116288_c1_g1_i1	0.361063063	meanfemale	FC1
TRINITY_DN135065_c0_g1_i7	1.756995637	meanfemale	FC1
TRINITY_DN136050_c1_g2_i1	1.475890475	meanfemale	FC1
TRINITY_DN135505_c7_g1_i1	-0.004626822	meanfemale	FC1
TRINITY_DN121322_c0_g1_i2	2.893644962	meanfemale	FC1
TRINITY_DN106256_c0_g3_i3	1.737234196	meanfemale	FC1
TRINITY_DN120528_c0_g1_i2	2.299858163	meanfemale	FC1
TRINITY_DN129653_c1_g3_i2	0.79138188	meanfemale	FC1
TRINITY_DN124983_c3_g1_i1	0.733997164	meanfemale	FC1
TRINITY_DN128260_c1_g5_i6	5.321365673	meanfemale	FC1
TRINITY_DN126469_c1_g1_i1	0.944419113	meanfemale	FC1
TRINITY_DN114406_c0_g1_i1	2.796521258	meanfemale	FC1
TRINITY_DN135981_c3_g3_i2	-1.070485139	meanfemale	FC1
TRINITY_DN131472_c0_g1_i1	1.892582068	meanfemale	FC1
TRINITY_DN113131_c0_g1_i5	2.748579059	meanfemale	FC1
TRINITY_DN202533_c0_g1_i1	1.590752586	meanfemale	FC1
TRINITY_DN130043_c0_g2_i4	-0.554291308	meanfemale	FC1
TRINITY_DN124990_c0_g3_i2	2.463211263	meanfemale	FC1
TRINITY_DN126259_c0_g2_i4	2.701210477	meanfemale	FC1
TRINITY_DN131269_c13_g15_i1	2.899008658	meanfemale	FC1
TRINITY_DN51310_c0_g2_i1	0.431212218	meanfemale	FC1
TRINITY_DN133409_c1_g3_i1	2.756724816	meanfemale	FC1
TRINITY_DN131856_c3_g2_i2	2.754877382	meanfemale	FC1
TRINITY_DN127303_c2_g3_i3	3.944040298	meanfemale	FC1
TRINITY_DN126877_c0_g1_i1	-0.908960627	meanfemale	FC1
TRINITY_DN135765_c6_g2_i2	4.573264068	meanfemale	FC1
TRINITY_DN136417_c0_g1_i2	3.861023117	meanfemale	FC1
TRINITY_DN132465_c3_g1_i1	-0.324446094	meanfemale	FC1
TRINITY_DN126527_c2_g1_i1	2.770577518	meanfemale	FC1
TRINITY_DN124623_c3_g1_i1	4.806975049	meanfemale	FC1
TRINITY_DN113584_c0_g1_i1	-0.477120633	meanfemale	FC1
TRINITY_DN136190_c9_g1_i4	2.288080586	meanfemale	FC1
TRINITY_DN134483_c0_g1_i1	0.401690802	meanfemale	FC1
TRINITY_DN116233_c0_g1_i1	1.667415131	meanfemale	FC1
TRINITY_DN69581_c0_g1_i1	0.480885334	meanfemale	FC1
TRINITY_DN118565_c0_g1_i1	0.09589641	meanfemale	FC1
TRINITY_DN133534_c2_g6_i1	2.508736584	meanfemale	FC1
TRINITY_DN127361_c15_g1_i3	-0.282944444	meanfemale	FC1
TRINITY_DN123854_c0_g4_i5	4.254387279	meanfemale	FC1
TRINITY_DN126398_c0_g1_i1	0.669117472	meanfemale	FC1
