gid	logFC.XYtestis.XXovary	cutoff	co_sb	meanXY	sex
TRINITY_DN91439_c1_g1_i1	1.029292871	FC1	male	2.073816576	male
TRINITY_DN129484_c5_g4_i1	1.029302756	FC1	male	1.952451713	male
TRINITY_DN135384_c2_g1_i2	1.029657564	FC1	male	5.097990862	male
TRINITY_DN126370_c0_g1_i2	1.030166765	FC1	male	5.385319151	male
TRINITY_DN118716_c0_g1_i1	1.030293067	FC1	male	0.262689503	male
TRINITY_DN129920_c0_g2_i4	1.030325727	FC1	male	-0.856455754	male
TRINITY_DN132653_c2_g1_i1	1.03076477	FC1	male	3.668269629	male
TRINITY_DN119518_c0_g1_i1	1.031053074	FC1	male	5.464023966	male
TRINITY_DN135299_c1_g17_i1	1.031183143	FC1	male	4.94816394	male
TRINITY_DN80194_c0_g1_i1	1.031951622	FC1	male	4.932976125	male
TRINITY_DN131741_c0_g1_i1	1.03211513	FC1	male	4.780503157	male
TRINITY_DN121199_c1_g1_i1	1.032277998	FC1	male	-0.45464826	male
TRINITY_DN119432_c0_g1_i1	1.032298856	FC1	male	2.781182779	male
TRINITY_DN119665_c0_g1_i1	1.032490462	FC1	male	1.767617992	male
TRINITY_DN128511_c4_g2_i2	1.032530141	FC1	male	2.899520344	male
TRINITY_DN134362_c2_g1_i6	1.03341975	FC1	male	4.459908071	male
TRINITY_DN120836_c0_g1_i1	1.034052884	FC1	male	7.228368157	male
TRINITY_DN135765_c9_g2_i1	1.034076402	FC1	male	1.717419692	male
TRINITY_DN78418_c0_g1_i1	1.034445261	FC1	male	2.541615474	male
TRINITY_DN120051_c0_g1_i1	1.034684889	FC1	male	2.411561638	male
TRINITY_DN118256_c0_g1_i1	1.034787276	FC1	male	3.645157645	male
TRINITY_DN130467_c5_g3_i1	1.034845805	FC1	male	3.292257248	male
TRINITY_DN127150_c5_g1_i2	1.03526778	FC1	male	3.291763679	male
TRINITY_DN129004_c0_g3_i2	1.035333363	FC1	male	2.387011493	male
TRINITY_DN129958_c8_g2_i4	1.035420935	FC1	male	2.469598158	male
TRINITY_DN128172_c3_g5_i1	1.035657431	FC1	male	7.426077265	male
TRINITY_DN78254_c0_g1_i1	1.035674139	FC1	male	1.076478612	male
TRINITY_DN134228_c2_g2_i6	1.036221879	FC1	male	4.147354109	male
TRINITY_DN135272_c6_g2_i2	1.036563009	FC1	male	3.160867597	male
TRINITY_DN134214_c1_g1_i2	1.036761645	FC1	male	-0.779550732	male
TRINITY_DN131142_c1_g3_i1	1.037030619	FC1	male	8.268942886	male
TRINITY_DN128390_c5_g1_i1	1.037499276	FC1	male	4.766750893	male
TRINITY_DN120406_c0_g2_i1	1.037937825	FC1	male	2.221365047	male
TRINITY_DN122642_c0_g1_i1	1.038005572	FC1	male	0.49904947	male
TRINITY_DN124701_c0_g1_i1	1.03812525	FC1	male	0.1557553	male
TRINITY_DN106338_c0_g1_i1	1.038381652	FC1	male	3.127156291	male
TRINITY_DN120829_c1_g2_i1	1.038829508	FC1	male	4.418331723	male
TRINITY_DN130297_c6_g1_i1	1.039276584	FC1	male	0.058106941	male
TRINITY_DN75266_c0_g2_i1	1.039488158	FC1	male	2.015744727	male
TRINITY_DN118692_c0_g1_i1	1.039490434	FC1	male	2.806034233	male
TRINITY_DN78988_c0_g1_i1	1.039613008	FC1	male	1.13054888	male
TRINITY_DN125596_c3_g1_i1	1.039744577	FC1	male	2.991924012	male
TRINITY_DN124057_c2_g3_i1	1.039844677	FC1	male	4.283316883	male
