gid	logFC.XYtestis.XXovary	cutoff	co_sb	log2RPKM	sex
TRINITY_DN91390_c0_g1_i1	-8.148966865	FC7	female	NA	male
TRINITY_DN131298_c0_g1_i1	-8.128151555	FC7	female	-3.185540652	male
TRINITY_DN124438_c0_g1_i1	-8.122294451	FC7	female	-3.350192415	male
TRINITY_DN19312_c0_g1_i1	-8.119847304	FC7	female	NA	male
TRINITY_DN26128_c0_g1_i1	-8.106184587	FC7	female	NA	male
TRINITY_DN98761_c0_g2_i1	-8.099455867	FC7	female	NA	male
TRINITY_DN129116_c0_g1_i3	-8.098431068	FC7	female	-1.527481835	male
TRINITY_DN133823_c0_g1_i1	-8.074518097	FC7	female	NA	male
TRINITY_DN121548_c0_g1_i1	-8.061826616	FC7	female	-2.840978009	male
TRINITY_DN40767_c0_g1_i1	-8.054330803	FC7	female	NA	male
TRINITY_DN114957_c0_g1_i3	-8.053134841	FC7	female	NA	male
TRINITY_DN124263_c0_g1_i1	-8.053118156	FC7	female	-0.458571534	male
TRINITY_DN87843_c0_g1_i1	-8.045801563	FC7	female	NA	male
TRINITY_DN123398_c4_g3_i2	-8.045794396	FC7	female	NA	male
TRINITY_DN125497_c0_g1_i2	-8.039007506	FC7	female	NA	male
TRINITY_DN101425_c0_g1_i1	-8.031032948	FC7	female	NA	male
TRINITY_DN136663_c13_g1_i1	-8.030218781	FC7	female	0.240850634	male
TRINITY_DN115116_c0_g1_i1	-8.029237001	FC7	female	NA	male
TRINITY_DN102894_c0_g3_i1	-8.028129419	FC7	female	NA	male
TRINITY_DN114382_c0_g1_i2	-8.023752229	FC7	female	NA	male
TRINITY_DN131491_c0_g1_i5	-7.991743567	FC7	female	NA	male
TRINITY_DN121071_c0_g1_i4	-7.975407102	FC7	female	-1.10025122	male
TRINITY_DN123462_c3_g1_i1	-7.960595989	FC7	female	-3.219832199	male
TRINITY_DN118496_c0_g1_i2	-7.958210987	FC7	female	-0.392297789	male
TRINITY_DN99742_c0_g1_i1	-7.95258123	FC7	female	NA	male
TRINITY_DN98334_c0_g1_i1	-7.948143798	FC7	female	NA	male
TRINITY_DN44677_c0_g2_i1	-7.934258716	FC7	female	NA	male
TRINITY_DN109913_c0_g1_i1	-7.930868341	FC7	female	NA	male
TRINITY_DN103565_c0_g2_i1	-7.923852783	FC7	female	NA	male
TRINITY_DN80690_c2_g2_i1	-7.918508741	FC7	female	-3.453465031	male
TRINITY_DN108208_c0_g1_i3	-7.907084367	FC7	female	1.087207134	male
TRINITY_DN91515_c0_g3_i1	-7.904982845	FC7	female	NA	male
TRINITY_DN92371_c1_g2_i1	-7.874021403	FC7	female	NA	male
