gid	cutoff	co_sb	log2meanXY	group1
TRINITY_DN108303_c0_g1_i1	3	male	1.82357647	meanmale
TRINITY_DN108382_c0_g3_i1	1	male	1.863876983	meanmale
TRINITY_DN108410_c0_g1_i1	3	male	2.851947877	meanmale
TRINITY_DN108491_c0_g1_i1	1	male	2.99478946	meanmale
TRINITY_DN108540_c0_g1_i1	1	male	3.034215727	meanmale
TRINITY_DN108551_c0_g1_i2	1	male	-0.361989492	meanmale
TRINITY_DN108553_c0_g1_i1	1	male	0.628858949	meanmale
TRINITY_DN10856_c0_g2_i1	1	male	2.510019288	meanmale
TRINITY_DN108615_c0_g2_i1	1	male	2.357670736	meanmale
TRINITY_DN108618_c0_g1_i2	1	male	3.03350609	meanmale
TRINITY_DN108672_c0_g3_i2	3	male	2.207693434	meanmale
TRINITY_DN108703_c0_g3_i1	1	male	2.88198241	meanmale
TRINITY_DN108709_c0_g1_i2	1	male	9.997263969	meanmale
TRINITY_DN108737_c0_g1_i6	1	male	6.594356388	meanmale
TRINITY_DN108742_c0_g1_i1	1	male	4.579821802	meanmale
TRINITY_DN108997_c0_g1_i1	3	male	6.142508378	meanmale
TRINITY_DN109025_c0_g1_i1	1	male	2.772759662	meanmale
TRINITY_DN109035_c0_g1_i1	3	male	3.266878631	meanmale
TRINITY_DN109035_c0_g2_i1	1	male	3.493568715	meanmale
TRINITY_DN109106_c0_g1_i1	3	male	2.045050267	meanmale
TRINITY_DN109134_c0_g1_i1	1	male	4.083047398	meanmale
TRINITY_DN109149_c0_g2_i1	1	male	0.087446711	meanmale
TRINITY_DN1091_c0_g1_i1	3	male	1.790243116	meanmale
TRINITY_DN109203_c0_g1_i1	1	male	3.420151617	meanmale
TRINITY_DN109239_c0_g1_i1	1	male	0.89009628	meanmale
TRINITY_DN109245_c0_g1_i1	1	male	3.12025902	meanmale
TRINITY_DN109361_c0_g1_i1	1	male	6.17993643	meanmale
TRINITY_DN109423_c0_g1_i2	3	male	4.058862644	meanmale
TRINITY_DN109424_c0_g2_i2	5	male	2.537648007	meanmale
TRINITY_DN109463_c0_g2_i1	7	male	3.46188171	meanmale
TRINITY_DN109468_c0_g1_i1	5	male	2.441250638	meanmale
TRINITY_DN109470_c0_g2_i1	5	male	2.235067846	meanmale
TRINITY_DN109555_c0_g1_i2	1	male	4.479389285	meanmale
TRINITY_DN109600_c0_g2_i3	3	male	6.53858768	meanmale
TRINITY_DN109621_c1_g1_i1	1	male	3.917127698	meanmale
TRINITY_DN109640_c0_g2_i2	1	male	1.025128253	meanmale
TRINITY_DN109683_c0_g1_i2	1	male	6.478147392	meanmale
TRINITY_DN109692_c0_g1_i2	1	male	5.076246635	meanmale
TRINITY_DN109706_c0_g1_i1	3	male	2.159831605	meanmale
TRINITY_DN109714_c0_g1_i1	1	male	-0.326259553	meanmale
TRINITY_DN109745_c0_g1_i1	1	male	0.870237992	meanmale
TRINITY_DN109773_c0_g1_i2	1	male	5.021355273	meanmale
TRINITY_DN109897_c0_g1_i1	1	male	3.938429089	meanmale
TRINITY_DN109897_c1_g1_i1	1	male	2.782445499	meanmale
TRINITY_DN109907_c0_g1_i1	1	male	6.650976986	meanmale
TRINITY_DN109954_c0_g2_i1	1	male	1.642838802	meanmale
TRINITY_DN110023_c0_g1_i1	1	male	2.487365701	meanmale
TRINITY_DN110061_c0_g1_i1	1	male	0.893734637	meanmale
TRINITY_DN110081_c0_g1_i1	1	male	0.997048322	meanmale
TRINITY_DN110108_c0_g1_i1	5	male	0.640418325	meanmale
TRINITY_DN110146_c0_g1_i3	1	male	3.615546903	meanmale
TRINITY_DN110181_c0_g1_i1	1	male	1.103345081	meanmale
TRINITY_DN110193_c0_g1_i1	1	male	1.269019189	meanmale
TRINITY_DN110214_c0_g1_i3	3	male	0.492126715	meanmale
TRINITY_DN110217_c0_g1_i2	1	male	3.170040418	meanmale
TRINITY_DN110283_c0_g1_i1	3	male	0.928074809	meanmale
TRINITY_DN110285_c0_g2_i2	1	male	5.985857563	meanmale
TRINITY_DN110285_c0_g3_i1	1	male	4.540561405	meanmale
TRINITY_DN110308_c0_g1_i1	1	male	2.894281968	meanmale
TRINITY_DN110395_c0_g2_i1	1	male	3.61351236	meanmale
TRINITY_DN110412_c0_g1_i1	1	male	5.363069044	meanmale
TRINITY_DN110438_c1_g1_i1	5	male	1.158628881	meanmale
TRINITY_DN110440_c0_g1_i1	1	male	6.425849114	meanmale
TRINITY_DN110445_c1_g1_i3	1	male	4.445364441	meanmale
TRINITY_DN110454_c0_g6_i1	3	male	3.212655127	meanmale
TRINITY_DN110478_c0_g1_i2	1	male	2.755173253	meanmale
TRINITY_DN110510_c0_g1_i1	1	male	2.032370967	meanmale
TRINITY_DN110588_c0_g1_i1	1	male	3.989732788	meanmale
TRINITY_DN110591_c0_g2_i1	1	male	3.930861141	meanmale
TRINITY_DN110650_c0_g1_i1	1	male	9.790903795	meanmale
TRINITY_DN110705_c0_g1_i1	1	male	4.337695812	meanmale
TRINITY_DN110706_c0_g1_i2	1	male	2.09897777	meanmale
TRINITY_DN110725_c0_g1_i3	3	male	3.232912509	meanmale
TRINITY_DN110726_c0_g1_i2	3	male	2.415020327	meanmale
TRINITY_DN110732_c0_g1_i2	1	male	-0.22933214	meanmale
TRINITY_DN110737_c0_g1_i1	3	male	-0.112375111	meanmale
TRINITY_DN110788_c1_g1_i1	1	male	2.064927879	meanmale
TRINITY_DN110843_c0_g1_i1	1	male	5.071091201	meanmale
TRINITY_DN110855_c0_g1_i1	1	male	4.562528547	meanmale
TRINITY_DN110867_c0_g1_i1	1	male	2.414259307	meanmale
TRINITY_DN110879_c0_g2_i1	1	male	3.744303629	meanmale
TRINITY_DN110957_c0_g1_i1	1	male	2.140612414	meanmale
TRINITY_DN110958_c0_g2_i1	7	male	1.207110604	meanmale
TRINITY_DN110959_c0_g1_i1	3	male	3.034909956	meanmale
TRINITY_DN110989_c1_g2_i1	3	male	0.869361979	meanmale
TRINITY_DN110995_c0_g1_i1	3	male	7.531835672	meanmale
TRINITY_DN111011_c1_g2_i1	1	male	5.093138643	meanmale
TRINITY_DN111026_c0_g3_i1	7	male	3.376852446	meanmale
TRINITY_DN111029_c0_g1_i3	3	male	5.498867364	meanmale
TRINITY_DN111035_c0_g1_i1	1	male	5.702239902	meanmale
TRINITY_DN111111_c0_g1_i1	1	male	4.763963226	meanmale
TRINITY_DN111118_c0_g1_i1	1	male	1.391336389	meanmale
TRINITY_DN111122_c0_g2_i3	1	male	3.770975432	meanmale
TRINITY_DN111143_c0_g1_i2	1	male	4.346862019	meanmale
TRINITY_DN111163_c0_g1_i3	3	male	4.71319697	meanmale
TRINITY_DN111173_c0_g1_i1	1	male	3.774266616	meanmale
TRINITY_DN111208_c0_g1_i1	1	male	3.244952272	meanmale
TRINITY_DN111208_c0_g2_i1	7	male	3.06781553	meanmale
TRINITY_DN111210_c0_g1_i1	1	male	1.870606803	meanmale
TRINITY_DN111231_c0_g1_i1	1	male	5.496269132	meanmale
TRINITY_DN111247_c0_g1_i1	1	male	4.079141173	meanmale
TRINITY_DN111333_c0_g1_i1	1	male	4.289010789	meanmale
TRINITY_DN111351_c0_g1_i1	1	male	2.806698408	meanmale
TRINITY_DN111360_c0_g2_i1	1	male	2.081678885	meanmale
TRINITY_DN111361_c0_g1_i1	1	male	2.556236457	meanmale
TRINITY_DN111376_c0_g1_i1	1	male	4.209765368	meanmale
TRINITY_DN111385_c0_g2_i1	5	male	4.58193418	meanmale
TRINITY_DN111385_c0_g4_i1	3	male	4.74026809	meanmale
TRINITY_DN111407_c0_g1_i1	1	male	1.716183818	meanmale
TRINITY_DN111408_c0_g2_i1	3	male	2.296374627	meanmale
TRINITY_DN111428_c0_g1_i1	1	male	3.399405349	meanmale
TRINITY_DN111446_c0_g1_i2	1	male	5.673307451	meanmale
TRINITY_DN111523_c0_g1_i1	1	male	1.852073788	meanmale
TRINITY_DN111532_c0_g2_i4	5	male	2.66422348	meanmale
TRINITY_DN111553_c0_g3_i1	1	male	2.29820767	meanmale
TRINITY_DN111576_c0_g1_i2	1	male	5.117582831	meanmale
TRINITY_DN111579_c0_g1_i1	1	male	0.324192417	meanmale
TRINITY_DN111591_c0_g2_i2	1	male	1.201011999	meanmale
TRINITY_DN111603_c0_g2_i1	1	male	6.955335407	meanmale
TRINITY_DN111611_c0_g1_i1	3	male	5.623398296	meanmale
TRINITY_DN111754_c0_g1_i1	1	male	1.782212908	meanmale
TRINITY_DN111757_c0_g1_i1	5	male	2.987839935	meanmale
TRINITY_DN111786_c0_g1_i2	3	male	1.478266802	meanmale
TRINITY_DN111792_c0_g2_i1	1	male	4.831974285	meanmale
TRINITY_DN111803_c0_g1_i2	1	male	1.392507202	meanmale
TRINITY_DN111831_c0_g2_i1	1	male	4.090178931	meanmale
TRINITY_DN111831_c0_g3_i2	1	male	2.891347977	meanmale
TRINITY_DN111838_c0_g1_i1	1	male	5.136318448	meanmale
TRINITY_DN111840_c0_g1_i1	3	male	1.591233135	meanmale
TRINITY_DN111910_c0_g1_i1	1	male	-0.244803945	meanmale
TRINITY_DN111974_c0_g1_i2	1	male	2.788030588	meanmale
TRINITY_DN111980_c0_g1_i1	1	male	4.754102824	meanmale
TRINITY_DN111984_c0_g1_i1	1	male	4.708382312	meanmale
TRINITY_DN111985_c0_g1_i1	1	male	3.556810237	meanmale
TRINITY_DN111985_c0_g2_i1	1	male	4.094616659	meanmale
TRINITY_DN112014_c0_g1_i1	1	male	2.218903477	meanmale
TRINITY_DN112020_c0_g1_i2	3	male	3.266998396	meanmale
TRINITY_DN112021_c0_g1_i1	1	male	4.481830154	meanmale
TRINITY_DN112041_c0_g1_i2	3	male	4.442658701	meanmale
TRINITY_DN112072_c0_g1_i1	1	male	2.413263922	meanmale
TRINITY_DN112088_c0_g1_i1	1	male	1.568977824	meanmale
TRINITY_DN112095_c0_g2_i1	1	male	1.683981685	meanmale
TRINITY_DN112160_c0_g1_i1	1	male	1.149058415	meanmale
TRINITY_DN112161_c0_g1_i1	1	male	1.255228981	meanmale
TRINITY_DN112164_c0_g1_i1	3	male	1.98882701	meanmale
TRINITY_DN112188_c0_g2_i1	3	male	2.587640912	meanmale
TRINITY_DN112188_c0_g3_i1	1	male	3.024008954	meanmale
TRINITY_DN112264_c0_g1_i1	5	male	2.442312226	meanmale
TRINITY_DN112264_c1_g2_i1	7	male	2.579186941	meanmale
