gid	sex	bias
1.167411891	meanmale	unbias
-0.745123734	meanmale	unbias
0.654084451	meanmale	unbias
1.956775568	meanmale	unbias
6.373269574	meanmale	unbias
1.278194466	meanmale	unbias
0.002726882	meanmale	unbias
3.177615799	meanmale	unbias
2.72007423	meanmale	unbias
0.252410631	meanmale	unbias
1.248045339	meanmale	unbias
3.406058851	meanmale	unbias
1.452080247	meanmale	unbias
4.85801176	meanmale	unbias
5.105309508	meanmale	unbias
1.100548909	meanmale	unbias
1.101390551	meanmale	unbias
5.104771132	meanmale	unbias
7.336919543	meanmale	unbias
2.303354217	meanmale	unbias
3.496519354	meanmale	unbias
5.787787268	meanmale	unbias
0.068876201	meanmale	unbias
4.000132003	meanmale	unbias
3.903037278	meanmale	unbias
1.97666019	meanmale	unbias
1.626431433	meanmale	unbias
-0.047758565	meanmale	unbias
2.839438968	meanmale	unbias
4.68016771	meanmale	unbias
4.696663545	meanmale	unbias
6.667077673	meanmale	unbias
2.423973763	meanmale	unbias
4.641429506	meanmale	unbias
1.751410397	meanmale	unbias
1.109928619	meanmale	unbias
0.564574997	meanmale	unbias
0.621946925	meanmale	unbias
-0.832022895	meanmale	unbias
-2.28977046	meanmale	unbias
0.777447945	meanmale	unbias
1.460531439	meanmale	unbias
3.118825558	meanmale	unbias
1.831132729	meanmale	unbias
3.665215577	meanmale	unbias
5.17533997	meanmale	unbias
-0.592388333	meanmale	unbias
-0.261181405	meanmale	unbias
5.3872098	meanmale	unbias
5.720579301	meanmale	unbias
4.033325477	meanmale	unbias
4.969844876	meanmale	unbias
3.179649302	meanmale	unbias
2.915518073	meanmale	unbias
7.643738793	meanmale	unbias
1.92064987	meanmale	unbias
3.764005251	meanmale	unbias
3.054954186	meanmale	unbias
-0.385111546	meanmale	unbias
1.39392127	meanmale	unbias
2.02625734	meanmale	unbias
3.811964711	meanmale	unbias
2.027943222	meanmale	unbias
1.071951985	meanmale	unbias
1.13692159	meanmale	unbias
1.965353592	meanmale	unbias
1.597524201	meanmale	unbias
3.398823563	meanmale	unbias
2.473998168	meanmale	unbias
3.903721241	meanmale	unbias
NA?	meanmale	unbias
6.925158578	meanmale	unbias
4.269999731	meanmale	unbias
4.349990382	meanmale	unbias
3.889559597	meanmale	unbias
6.178759992	meanmale	unbias
-0.424407752	meanmale	unbias
2.020698803	meanmale	unbias
4.287379675	meanmale	unbias
5.718567198	meanmale	unbias
-0.223495711	meanmale	unbias
1.768726055	meanmale	unbias
1.383425862	meanmale	unbias
0.905970872	meanmale	unbias
2.268106626	meanmale	unbias
-0.277866176	meanmale	unbias
3.535687222	meanmale	unbias
5.559147886	meanmale	unbias
0.921070916	meanmale	unbias
6.381670784	meanmale	unbias
2.135425636	meanmale	unbias
4.060393736	meanmale	unbias
8.940476703	meanmale	unbias
0.042800551	meanmale	unbias
4.129127289	meanmale	unbias
4.720155364	meanmale	unbias
4.18516837	meanmale	unbias
1.210218508	meanmale	unbias
3.98952426	meanmale	unbias
2.164004558	meanmale	unbias
10.00464506	meanmale	unbias
4.39871799	meanmale	unbias
0.342059441	meanmale	unbias
1.14195	meanmale	unbias
3.269932609	meanmale	unbias
4.366999726	meanmale	unbias
1.328263511	meanmale	unbias
1.699524418	meanmale	unbias
