Log2RPKM	sex	bias
1.564539178	meanmale	female
4.312089713	meanmale	female
-1.468644247	meanmale	female
3.744529595	meanmale	female
2.199005199	meanmale	female
NA	meanmale	female
3.184518037	meanmale	female
-0.226673644	meanmale	female
NA	meanmale	female
2.382865174	meanmale	female
5.802853069	meanmale	female
3.547907295	meanmale	female
NA	meanmale	female
5.231403969	meanmale	female
2.433563057	meanmale	female
3.184198195	meanmale	female
2.38376308	meanmale	female
5.796889525	meanmale	female
0.433458313	meanmale	female
-0.464918425	meanmale	female
NA	meanmale	female
0.153518326	meanmale	female
4.653186909	meanmale	female
1.408900747	meanmale	female
NA	meanmale	female
NA	meanmale	female
3.935132301	meanmale	female
-2.583007308	meanmale	female
7.166169491	meanmale	female
2.706334316	meanmale	female
-0.490363655	meanmale	female
-2.257906769	meanmale	female
2.767092235	meanmale	female
-0.003115367	meanmale	female
3.190197169	meanmale	female
-0.099016211	meanmale	female
4.483184833	meanmale	female
1.904324296	meanmale	female
NA	meanmale	female
NA	meanmale	female
0.080170698	meanmale	female
0.439583916	meanmale	female
0.99201414	meanmale	female
5.052973534	meanmale	female
NA	meanmale	female
-0.171866565	meanmale	female
-0.855893373	meanmale	female
2.788904187	meanmale	female
3.271850676	meanmale	female
0.807110674	meanmale	female
0.811111415	meanmale	female
NA	meanmale	female
2.441313927	meanmale	female
4.802637472	meanmale	female
0.322519875	meanmale	female
0.761206685	meanmale	female
2.835984883	meanmale	female
2.525602089	meanmale	female
-0.155794492	meanmale	female
5.484471049	meanmale	female
1.217879145	meanmale	female
2.101844714	meanmale	female
-1.887946167	meanmale	female
3.761947422	meanmale	female
1.722496031	meanmale	female
-2.789645347	meanmale	female
2.728407566	meanmale	female
NA	meanmale	female
0.321376661	meanmale	female
1.867937919	meanmale	female
2.442520468	meanmale	female
2.535851659	meanmale	female
0.504734696	meanmale	female
0.091919425	meanmale	female
NA	meanmale	female
3.199961323	meanmale	female
0.137456924	meanmale	female
NA	meanmale	female
-0.229518595	meanmale	female
0.717467345	meanmale	female
2.077144477	meanmale	female
-1.181650017	meanmale	female
NA	meanmale	female
1.21147412	meanmale	female
3.047304182	meanmale	female
0.797206183	meanmale	female
0.252234567	meanmale	female
1.3191349	meanmale	female
1.389399662	meanmale	female
4.84610871	meanmale	female
0.864523288	meanmale	female
3.808513263	meanmale	female
6.404501194	meanmale	female
3.633808102	meanmale	female
3.215327357	meanmale	female
2.867400201	meanmale	female
-0.339149028	meanmale	female
6.680819225	meanmale	female
2.217656733	meanmale	female
5.432175708	meanmale	female
4.574900729	meanmale	female
NA	meanmale	female
NA	meanmale	female
1.500510194	meanmale	female
NA	meanmale	female
5.559190528	meanmale	female
4.54544797	meanmale	female
0.468644432	meanmale	female
-1.445579688	meanmale	female
0.659795314	meanmale	female
-0.271627839	meanmale	female
-0.138024034	meanmale	female
3.5151847	meanmale	female
0.27832831	meanmale	female
2.665707045	meanmale	female
4.05814974	meanmale	female
1.773595017	meanmale	female
5.658059708	meanmale	female
NA	meanmale	female
4.316333509	meanmale	female
1.158577097	meanmale	female
0.540811598	meanmale	female
0.730624997	meanmale	female
NA	meanmale	female
-0.495670934	meanmale	female
-1.08092794	meanmale	female
2.070570096	meanmale	female
2.98760255	meanmale	female
3.562217795	meanmale	female
3.495475439	meanmale	female
3.481660377	meanmale	female
0.378901328	meanmale	female
-1.047642743	meanmale	female
-1.062392387	meanmale	female
4.957154448	meanmale	female
0.50417872	meanmale	female
2.034389312	meanmale	female
3.784740034	meanmale	female
