gid	sex	log2RPKM	cutoff
TRINITY_DN93558_c0_g2_i1	meanfemale	7.883729876	FC5
TRINITY_DN117992_c0_g8_i1	meanfemale	1.06148474	FC5
TRINITY_DN96806_c0_g2_i1	meanfemale	2.409094242	FC5
TRINITY_DN117257_c0_g2_i1	meanfemale	4.269826104	FC5
TRINITY_DN103838_c0_g1_i1	meanfemale	7.115220321	FC5
TRINITY_DN114530_c0_g7_i1	meanfemale	2.970851837	FC5
TRINITY_DN105525_c0_g1_i1	meanfemale	3.085639083	FC5
TRINITY_DN26036_c0_g2_i1	meanfemale	1.94770166	FC5
TRINITY_DN111232_c1_g1_i1	meanfemale	4.362966765	FC5
TRINITY_DN98838_c0_g1_i2	meanfemale	6.135575028	FC5
TRINITY_DN124339_c4_g3_i4	meanfemale	4.654505902	FC5
TRINITY_DN128648_c7_g2_i1	meanfemale	6.467121819	FC5
TRINITY_DN130577_c0_g1_i1	meanfemale	5.510363045	FC5
TRINITY_DN114609_c0_g1_i1	meanfemale	3.364933818	FC5
TRINITY_DN110915_c0_g2_i1	meanfemale	2.92507177	FC5
TRINITY_DN109050_c0_g1_i1	meanfemale	2.983911745	FC5
TRINITY_DN125025_c0_g1_i2	meanfemale	6.066634195	FC5
TRINITY_DN128784_c3_g1_i2	meanfemale	4.153281312	FC5
TRINITY_DN111232_c0_g2_i1	meanfemale	4.575423257	FC5
TRINITY_DN120569_c0_g1_i1	meanfemale	3.735546914	FC5
TRINITY_DN121733_c0_g1_i3	meanfemale	4.101361008	FC5
TRINITY_DN166349_c0_g1_i1	meanfemale	3.121532742	FC5
TRINITY_DN115683_c0_g1_i2	meanfemale	4.527713459	FC5
TRINITY_DN114530_c0_g6_i4	meanfemale	3.803569549	FC5
TRINITY_DN135947_c1_g1_i1	meanfemale	6.021578447	FC5
TRINITY_DN130933_c7_g1_i2	meanfemale	7.085227278	FC5
TRINITY_DN124165_c0_g1_i7	meanfemale	4.632336332	FC5
TRINITY_DN130296_c2_g1_i3	meanfemale	1.884559516	FC5
TRINITY_DN124832_c12_g1_i1	meanfemale	2.567452027	FC5
TRINITY_DN126410_c3_g1_i3	meanfemale	9.398001653	FC5
TRINITY_DN111236_c0_g1_i1	meanfemale	6.733755785	FC5
TRINITY_DN116137_c0_g2_i2	meanfemale	4.898622745	FC5
TRINITY_DN122300_c0_g1_i3	meanfemale	7.195136448	FC5
TRINITY_DN116421_c0_g2_i1	meanfemale	2.745261809	FC5
TRINITY_DN118665_c1_g1_i1	meanfemale	4.258343275	FC5
TRINITY_DN111724_c0_g1_i1	meanfemale	6.169601855	FC5
TRINITY_DN110734_c0_g1_i1	meanfemale	1.712645922	FC5
TRINITY_DN120631_c0_g2_i2	meanfemale	3.203797628	FC5
TRINITY_DN125828_c2_g2_i3	meanfemale	5.171819228	FC5
TRINITY_DN131390_c2_g1_i1	meanfemale	6.79392062	FC5
TRINITY_DN118256_c0_g1_i1	meanfemale	2.418378826	FC5
TRINITY_DN125333_c0_g1_i1	meanfemale	7.709373479	FC5
TRINITY_DN99798_c0_g2_i1	meanfemale	2.589683771	FC5
TRINITY_DN131370_c0_g1_i1	meanfemale	5.055525641	FC5
TRINITY_DN106873_c0_g1_i2	meanfemale	6.229268814	FC5
TRINITY_DN120535_c1_g1_i5	meanfemale	5.356374899	FC5
TRINITY_DN136529_c1_g1_i7	meanfemale	11.73832884	FC5
TRINITY_DN130816_c3_g1_i1	meanfemale	5.225558104	FC5
TRINITY_DN114443_c0_g1_i1	meanfemale	2.420992022	FC5
TRINITY_DN99366_c0_g2_i1	meanfemale	6.079229965	FC5
TRINITY_DN117800_c0_g1_i1	meanfemale	2.636588415	FC5
TRINITY_DN124411_c0_g2_i4	meanfemale	8.6311701	FC5
TRINITY_DN110644_c0_g2_i1	meanfemale	2.800645785	FC5
TRINITY_DN126177_c8_g1_i1	meanfemale	3.276385622	FC5
TRINITY_DN115095_c0_g1_i1	meanfemale	5.603009858	FC5
TRINITY_DN99366_c0_g1_i1	meanfemale	6.021322506	FC5
TRINITY_DN114530_c0_g5_i1	meanfemale	3.007952129	FC5
