gid	tau	tissue	stage
TRINITY_DN123869_c1_g1_i1	0.131404231	G23_fmean	G23
TRINITY_DN136434_c0_g2_i1	0.334818993	G43_F_mean	G23
TRINITY_DN128645_c0_g1_i6	0.565149306	Brain_mmean	G23
TRINITY_DN113502_c0_g1_i1	0.112230398	G23_mmean	G23
TRINITY_DN114586_c0_g1_i1	0.230754748	Brain_fmean	G23
TRINITY_DN132809_c8_g1_i2	0.486496662	Testis_mean	G23
TRINITY_DN127462_c5_g9_i6	0.223646531	G23_fmean	G23
TRINITY_DN120936_c0_g1_i1	0.194582401	Ovary_mean	G23
TRINITY_DN123834_c0_g1_i1	0.262686362	Ovary_mean	G23
TRINITY_DN118066_c1_g1_i1	0.233557536	Brain_fmean	G23
TRINITY_DN132252_c3_g1_i1	0.330022734	Ovary_mean	G23
TRINITY_DN119721_c1_g1_i2	0.237489147	Brain_mmean	G23
TRINITY_DN134491_c2_g3_i1	0.358978833	G23_fmean	G23
TRINITY_DN129523_c0_g4_i3	0.59003442	Brain_fmean	G23
TRINITY_DN129261_c1_g2_i3	0.324509896	Ovary_mean	G23
TRINITY_DN116676_c0_g2_i2	0.30130573	Ovary_mean	G23
TRINITY_DN129105_c2_g6_i2	0.278434889	Ovary_mean	G23
TRINITY_DN112067_c0_g1_i2	0.685815824	G31_fmean	G23
TRINITY_DN132176_c6_g1_i1	0.284546995	Ovary_mean	G23
TRINITY_DN126872_c0_g1_i1	0.480417114	Brain_fmean	G23
TRINITY_DN132653_c4_g1_i2	0.273004653	Ovary_mean	G23
TRINITY_DN123729_c0_g2_i2	0.545153844	Ovary_mean	G23
TRINITY_DN134900_c6_g3_i2	0.328916949	Testis_mean	G23
TRINITY_DN116298_c0_g1_i2	0.218693406	G46_F_mean	G23
TRINITY_DN131669_c4_g1_i1	0.28532219	Ovary_mean	G23
TRINITY_DN135942_c3_g1_i3	0.144056273	G46_F_mean	G23
TRINITY_DN130262_c0_g1_i1	0.416760097	G43_M_mean	G23
TRINITY_DN122106_c0_g1_i1	0.311003549	Ovary_mean	G23
TRINITY_DN134881_c2_g1_i3	0.264880421	G46_M_mean	G23
TRINITY_DN130373_c6_g1_i2	0.281211616	Ovary_mean	G23
TRINITY_DN128202_c1_g1_i2	0.574396105	G31_fmean	G23
TRINITY_DN128167_c3_g3_i1	0.68226406	G27_fmean	G23
TRINITY_DN136154_c1_g3_i1	0.043482097	G43_M_mean	G23
TRINITY_DN125422_c0_g1_i1	0.436260043	Brain_mmean	G23
TRINITY_DN115662_c0_g1_i1	0.216952235	Ovary_mean	G23
TRINITY_DN119122_c0_g1_i3	0.431273488	Ovary_mean	G23
TRINITY_DN130580_c2_g7_i4	0.555711386	Brain_mmean	G23
TRINITY_DN126551_c0_g2_i5	0.376131341	Ovary_mean	G23
TRINITY_DN123838_c1_g2_i2	0.25016989	Ovary_mean	G23
TRINITY_DN132864_c0_g3_i1	0.355393142	Brain_fmean	G23
TRINITY_DN130492_c2_g3_i1	0.347565128	Ovary_mean	G23
TRINITY_DN115583_c1_g1_i1	0.392652668	Ovary_mean	G23
TRINITY_DN119978_c0_g1_i1	0.152351879	Ovary_mean	G23
TRINITY_DN128634_c0_g1_i1	0.354361224	Ovary_mean	G23
TRINITY_DN136105_c2_g1_i1	0.322591885	G23_fmean	G23
TRINITY_DN133666_c1_g2_i2	0.365785583	Ovary_mean	G23
TRINITY_DN124464_c11_g4_i4	0.314608446	Brain_mmean	G23
TRINITY_DN126907_c7_g1_i5	0.332187357	Testis_mean	G23
TRINITY_DN125851_c4_g2_i4	0.135946156	G23_fmean	G23
TRINITY_DN130764_c3_g2_i4	0.338462461	G43_M_mean	G23
TRINITY_DN118984_c1_g1_i1	0.557868708	Liver_fmean	G23
TRINITY_DN105250_c0_g1_i2	0.260473284	Brain_fmean	G23
TRINITY_DN123327_c0_g1_i1	0.406997234	Brain_mmean	G23
TRINITY_DN123926_c0_g2_i1	0.413626524	G43_M_mean	G23
TRINITY_DN133314_c5_g2_i2	0.506351785	Brain_mmean	G23
TRINITY_DN134910_c0_g2_i3	0.316181226	Ovary_mean	G23
TRINITY_DN127575_c5_g1_i3	0.121215893	G23_fmean	G23
TRINITY_DN131794_c1_g1_i1	0.351705857	G23_mmean	G23
TRINITY_DN152752_c0_g1_i1	0.229259718	Ovary_mean	G23
TRINITY_DN115688_c0_g1_i1	0.221013158	G23_fmean	G23
TRINITY_DN124193_c2_g2_i3	0.233452652	G27_mmean	G23
TRINITY_DN136005_c1_g1_i1	0.500016357	Brain_fmean	G23
TRINITY_DN133597_c0_g2_i1	0.119972868	Ovary_mean	G23
TRINITY_DN129185_c2_g3_i2	0.414990508	G23_mmean	G23
TRINITY_DN129521_c3_g1_i1	0.29065119	G23_mmean	G23
TRINITY_DN123028_c3_g1_i2	0.274350858	Brain_mmean	G23
TRINITY_DN108683_c0_g3_i1	0.126396601	G23_mmean	G23
TRINITY_DN129311_c0_g5_i2	0.397471182	Brain_mmean	G23
TRINITY_DN131361_c6_g3_i3	0.363201378	Ovary_mean	G23
TRINITY_DN131582_c0_g3_i1	0.271056245	G23_fmean	G23
TRINITY_DN87751_c0_g2_i1	0.146093847	G23_mmean	G23
TRINITY_DN133746_c0_g3_i2	0.339288104	Brain_mmean	G23
TRINITY_DN123442_c0_g2_i1	0.358132722	Ovary_mean	G23
TRINITY_DN130021_c0_g6_i1	0.229610721	Liver_fmean	G23
TRINITY_DN115767_c0_g1_i3	0.188145734	G23_fmean	G23
TRINITY_DN123626_c0_g1_i1	0.397727441	G23_fmean	G23
TRINITY_DN133356_c4_g1_i3	0.179219205	G23_mmean	G23
TRINITY_DN115561_c0_g1_i1	0.401363826	Ovary_mean	G23
TRINITY_DN131594_c0_g1_i3	0.197833263	G23_fmean	G23
TRINITY_DN127749_c2_g2_i1	0.484653153	Ovary_mean	G23
TRINITY_DN131220_c6_g1_i1	0.298779685	G27_fmean	G23
TRINITY_DN123632_c2_g2_i5	0.43319875	Ovary_mean	G23
TRINITY_DN125718_c0_g3_i1	0.496263814	Ovary_mean	G23
TRINITY_DN127151_c1_g2_i1	0.060381836	Testis_mean	G23
TRINITY_DN122994_c0_g1_i1	0.308207643	Ovary_mean	G23
TRINITY_DN130193_c8_g1_i3	0.24105417	Ovary_mean	G23
TRINITY_DN135037_c6_g3_i7	0.48028768	Brain_mmean	G23
TRINITY_DN130993_c5_g2_i1	0.35258994	Brain_fmean	G23
TRINITY_DN108146_c0_g1_i2	0.212059109	Brain_fmean	G23
TRINITY_DN132863_c1_g1_i1	0.370865028	Brain_mmean	G23
TRINITY_DN129760_c3_g2_i1	0.444207892	Ovary_mean	G23
TRINITY_DN122809_c1_g1_i1	0.435436439	Brain_mmean	G23
TRINITY_DN128948_c4_g1_i1	0.21451029	G23_mmean	G23
TRINITY_DN133707_c3_g5_i2	0.266870918	G27_mmean	G23
TRINITY_DN116935_c0_g1_i1	0.168744562	Ovary_mean	G23
TRINITY_DN129009_c1_g1_i3	0.523261913	Ovary_mean	G23
TRINITY_DN132042_c5_g3_i2	0.316817585	G23_fmean	G23
TRINITY_DN136704_c14_g1_i1	0.386960842	Brain_mmean	G23
TRINITY_DN126028_c5_g1_i1	0.357784172	Liver_fmean	G23
TRINITY_DN118592_c1_g1_i3	0.427331961	Brain_fmean	G23
