ID	Tissue_specific_index	Tissue_name
TRINITY_DN22630_c0_g1_i1	1	Ovary_mean
TRINITY_DN52430_c0_g2_i1	1	Ovary_mean
TRINITY_DN75599_c0_g1_i1	1	Ovary_mean
TRINITY_DN75647_c0_g1_i1	1	Ovary_mean
TRINITY_DN2458_c0_g1_i1	1	Ovary_mean
TRINITY_DN102894_c0_g3_i1	1	Ovary_mean
TRINITY_DN157675_c0_g1_i1	1	Ovary_mean
TRINITY_DN198186_c0_g1_i1	1	Ovary_mean
TRINITY_DN109302_c0_g1_i1	1	Ovary_mean
TRINITY_DN211833_c0_g1_i1	1	Ovary_mean
TRINITY_DN86592_c0_g2_i1	1	Ovary_mean
TRINITY_DN97439_c0_g1_i1	1	Ovary_mean
TRINITY_DN134002_c4_g4_i1	1	Liver_mmean
TRINITY_DN146183_c0_g1_i1	1	Ovary_mean
TRINITY_DN56819_c0_g1_i1	1	Ovary_mean
TRINITY_DN147051_c0_g1_i1	1	Ovary_mean
TRINITY_DN47738_c0_g2_i1	1	Brain_mmean
TRINITY_DN201239_c0_g1_i1	1	Testis_mean
TRINITY_DN98761_c0_g2_i1	1	Ovary_mean
TRINITY_DN95319_c0_g2_i1	1	Ovary_mean
TRINITY_DN76339_c0_g1_i1	1	Testis_mean
TRINITY_DN210552_c0_g1_i1	1	Ovary_mean
TRINITY_DN165079_c0_g1_i1	1	Ovary_mean
TRINITY_DN110958_c0_g2_i1	1	Testis_mean
TRINITY_DN137663_c0_g1_i1	1	Ovary_mean
TRINITY_DN194257_c0_g1_i1	1	Ovary_mean
TRINITY_DN177557_c0_g1_i1	1	G46_M_mean
TRINITY_DN9996_c0_g1_i1	1	Ovary_mean
TRINITY_DN71038_c0_g1_i1	1	Testis_mean
TRINITY_DN203128_c0_g1_i1	1	Ovary_mean
TRINITY_DN155787_c0_g1_i1	1	Testis_mean
TRINITY_DN180571_c0_g1_i1	1	Ovary_mean
TRINITY_DN77512_c0_g1_i1	1	Ovary_mean
TRINITY_DN154978_c0_g1_i1	1	Brain_fmean
TRINITY_DN156492_c0_g1_i1	1	Ovary_mean
TRINITY_DN73978_c0_g1_i1	1	Ovary_mean
TRINITY_DN24651_c0_g1_i1	1	Ovary_mean
TRINITY_DN198042_c0_g1_i1	1	Ovary_mean
TRINITY_DN193781_c0_g1_i1	1	Ovary_mean
TRINITY_DN91654_c0_g2_i1	1	Ovary_mean
TRINITY_DN666_c0_g1_i1	1	Ovary_mean
TRINITY_DN134522_c4_g1_i1	1	Ovary_mean
TRINITY_DN154997_c0_g1_i1	1	Ovary_mean
TRINITY_DN81206_c0_g1_i1	1	Ovary_mean
TRINITY_DN116454_c0_g1_i2	1	Testis_mean
TRINITY_DN109936_c0_g1_i1	1	Ovary_mean
TRINITY_DN87901_c1_g1_i1	1	Ovary_mean
TRINITY_DN102893_c0_g1_i1	1	Ovary_mean
TRINITY_DN23967_c0_g2_i1	1	Ovary_mean
TRINITY_DN154926_c0_g1_i1	1	Ovary_mean
TRINITY_DN112264_c0_g1_i1	1	Testis_mean
TRINITY_DN168999_c0_g1_i1	1	Ovary_mean
TRINITY_DN45969_c0_g1_i1	1	Ovary_mean
TRINITY_DN13877_c0_g1_i1	1	Ovary_mean
TRINITY_DN113341_c0_g2_i1	1	Ovary_mean
TRINITY_DN111208_c0_g2_i1	1	Testis_mean
TRINITY_DN208239_c0_g1_i1	1	Ovary_mean
TRINITY_DN126410_c3_g6_i1	1	Ovary_mean
TRINITY_DN204827_c0_g1_i1	1	G46_M_mean
TRINITY_DN50185_c0_g1_i1	1	Brain_mmean
TRINITY_DN194757_c0_g1_i1	1	Ovary_mean
TRINITY_DN76339_c0_g2_i1	1	Testis_mean
TRINITY_DN97108_c0_g1_i1	1	Ovary_mean
TRINITY_DN46255_c0_g1_i1	1	Ovary_mean
TRINITY_DN35372_c0_g1_i1	1	Testis_mean
TRINITY_DN96472_c0_g1_i1	1	Ovary_mean
TRINITY_DN154994_c0_g1_i1	1	Ovary_mean
TRINITY_DN85092_c0_g2_i1	1	Ovary_mean
TRINITY_DN71970_c0_g1_i1	1	Ovary_mean
TRINITY_DN49245_c0_g2_i1	1	Brain_fmean
TRINITY_DN42269_c0_g1_i1	1	Liver_mmean
TRINITY_DN123234_c0_g2_i1	1	Ovary_mean
TRINITY_DN210136_c0_g1_i1	1	Ovary_mean
TRINITY_DN87791_c0_g4_i1	1	Ovary_mean
TRINITY_DN25324_c0_g1_i1	1	Ovary_mean
TRINITY_DN12943_c0_g2_i1	1	Testis_mean
TRINITY_DN67380_c0_g2_i1	1	Testis_mean
TRINITY_DN182149_c0_g1_i1	1	Ovary_mean
TRINITY_DN133674_c1_g1_i2	1	Ovary_mean
TRINITY_DN71278_c0_g2_i1	1	Ovary_mean
TRINITY_DN195307_c0_g1_i1	1	Ovary_mean
TRINITY_DN182760_c0_g1_i1	1	Ovary_mean
TRINITY_DN138389_c0_g1_i1	1	Ovary_mean
TRINITY_DN92825_c0_g3_i1	1	Ovary_mean
TRINITY_DN126410_c3_g2_i1	1	Ovary_mean
TRINITY_DN132364_c3_g1_i1	1	Ovary_mean
TRINITY_DN198331_c0_g1_i1	1	Ovary_mean
TRINITY_DN78438_c0_g3_i1	1	Liver_fmean
TRINITY_DN195820_c0_g1_i1	1	Ovary_mean
TRINITY_DN202415_c0_g1_i1	1	Ovary_mean
TRINITY_DN209925_c0_g1_i1	1	Ovary_mean
TRINITY_DN90966_c0_g1_i1	1	Ovary_mean
TRINITY_DN202429_c0_g1_i1	1	Ovary_mean
TRINITY_DN195_c0_g1_i1	1	Ovary_mean
TRINITY_DN79827_c0_g1_i1	1	G46_M_mean
TRINITY_DN3749_c0_g2_i1	1	Testis_mean
TRINITY_DN106792_c0_g1_i1	1	Testis_mean
TRINITY_DN182914_c0_g1_i1	1	Ovary_mean
TRINITY_DN106792_c0_g3_i1	1	Testis_mean
TRINITY_DN272_c0_g1_i1	1	Ovary_mean
TRINITY_DN111203_c1_g1_i1	1	Ovary_mean
TRINITY_DN59738_c0_g1_i1	1	Ovary_mean
TRINITY_DN46255_c0_g2_i1	1	Ovary_mean
TRINITY_DN85228_c0_g2_i2	1	Testis_mean
TRINITY_DN155605_c0_g1_i1	1	Ovary_mean
TRINITY_DN56593_c0_g1_i1	1	Ovary_mean
TRINITY_DN101425_c0_g1_i1	1	Ovary_mean
TRINITY_DN140002_c0_g1_i1	1	Ovary_mean
TRINITY_DN124848_c1_g1_i1	1	Ovary_mean
TRINITY_DN140678_c0_g1_i1	1	Ovary_mean
TRINITY_DN137515_c0_g1_i1	1	Ovary_mean
TRINITY_DN133674_c1_g2_i1	1	Ovary_mean
