gid	tau	tissue	stage	perc
TRINITY_DN134510_c3_g1_i1	0.186641022	Ovary_mean	G27	top10
TRINITY_DN105472_c0_g3_i2	0.300659375	Ovary_mean	G27	top10
TRINITY_DN123371_c1_g1_i1	0.319918989	G31_fmean	G27	top10
TRINITY_DN136394_c9_g1_i1	0.209860782	G43_M_mean	G27	top10
TRINITY_DN119773_c0_g1_i1	0.418717627	G23_mmean	G27	top10
TRINITY_DN95674_c0_g1_i2	0.46942322	G46_M_mean	G27	top10
TRINITY_DN133600_c2_g1_i2	0.349355584	Brain_mmean	G27	top10
TRINITY_DN134876_c3_g1_i3	0.36433818	Brain_mmean	G27	top10
TRINITY_DN122909_c5_g4_i5	0.166407805	G23_mmean	G27	top10
TRINITY_DN120746_c0_g3_i1	0.147349377	Ovary_mean	G27	top10
TRINITY_DN133357_c2_g6_i5	0.54082569	G46_M_mean	G27	top10
TRINITY_DN136406_c5_g2_i1	0.287656355	Brain_mmean	G27	top10
TRINITY_DN135577_c6_g6_i1	0.15738259	G31_mmean	G27	top10
TRINITY_DN132129_c1_g1_i1	0.110264191	G46_M_mean	G27	top10
TRINITY_DN125769_c0_g1_i1	0.232238548	G23_mmean	G27	top10
TRINITY_DN132814_c0_g1_i5	0.485515147	Brain_fmean	G27	top10
TRINITY_DN131583_c4_g2_i3	0.074910218	Testis_mean	G27	top10
TRINITY_DN123704_c2_g3_i1	0.651188873	G31_fmean	G27	top10
TRINITY_DN134416_c7_g5_i2	0.140727864	Brain_mmean	G27	top10
TRINITY_DN129670_c3_g2_i2	0.276264808	G23_mmean	G27	top10
TRINITY_DN125463_c5_g2_i5	0.214636234	G27_fmean	G27	top10
TRINITY_DN126652_c0_g1_i1	0.154788202	G27_mmean	G27	top10
TRINITY_DN127949_c1_g1_i8	0.201976451	Brain_mmean	G27	top10
TRINITY_DN128172_c3_g5_i1	0.19879761	Brain_mmean	G27	top10
TRINITY_DN88313_c0_g2_i1	0.643219993	G31_fmean	G27	top10
TRINITY_DN129573_c0_g1_i2	0.177499158	Brain_fmean	G27	top10
TRINITY_DN121762_c0_g1_i2	0.204392234	Brain_mmean	G27	top10
TRINITY_DN120516_c0_g1_i1	0.383807673	G23_mmean	G27	top10
TRINITY_DN124987_c0_g1_i1	0.197933417	Brain_mmean	G27	top10
TRINITY_DN136311_c2_g2_i1	0.065833599	G23_fmean	G27	top10
TRINITY_DN132588_c3_g1_i1	0.199340219	G23_mmean	G27	top10
TRINITY_DN120566_c0_g1_i2	0.128507817	Brain_fmean	G27	top10
TRINITY_DN111548_c0_g1_i3	0.268108288	Ovary_mean	G27	top10
TRINITY_DN131807_c5_g2_i2	0.183737361	G23_mmean	G27	top10
TRINITY_DN128848_c3_g1_i2	0.172051715	Ovary_mean	G27	top10
TRINITY_DN119988_c0_g1_i3	0.218410623	Ovary_mean	G27	top10
TRINITY_DN136647_c2_g1_i3	0.440940068	Liver_mmean	G27	top10
TRINITY_DN131803_c1_g1_i1	0.196787948	Ovary_mean	G27	top10
TRINITY_DN127039_c0_g3_i7	0.52840988	G27_mmean	G27	top10
TRINITY_DN123723_c1_g1_i1	0.205543625	Ovary_mean	G27	top10
TRINITY_DN120578_c0_g1_i1	0.578823084	G27_mmean	G27	top10
TRINITY_DN134666_c4_g1_i1	0.156173051	G23_mmean	G27	top10
TRINITY_DN127520_c0_g3_i7	0.239237076	Liver_fmean	G27	top10
TRINITY_DN126301_c0_g1_i2	0.334821269	Ovary_mean	G27	top10
TRINITY_DN125942_c2_g3_i6	0.18679618	G23_fmean	G27	top10
TRINITY_DN130789_c3_g1_i1	0.186003424	G23_mmean	G27	top10
TRINITY_DN105324_c0_g1_i5	0.046417742	G23_fmean	G27	top10
TRINITY_DN126675_c0_g1_i5	0.086860743	G27_fmean	G27	top10
TRINITY_DN129264_c1_g1_i1	0.057067786	Testis_mean	G27	top10
TRINITY_DN124736_c1_g3_i2	0.759673767	G31_fmean	G27	top10
TRINITY_DN129020_c1_g4_i2	0.337773993	G31_mmean	G27	top10
TRINITY_DN115253_c0_g1_i1	0.552489184	Brain_mmean	G27	top10
TRINITY_DN128724_c0_g1_i3	0.092753177	Brain_fmean	G27	top10
TRINITY_DN125501_c0_g1_i1	0.186582063	G27_mmean	G27	top10
TRINITY_DN128422_c6_g7_i4	0.246662931	G23_fmean	G27	top10
TRINITY_DN117298_c0_g1_i1	0.176394349	Ovary_mean	G27	top10
TRINITY_DN127087_c0_g1_i1	0.246849094	Brain_mmean	G27	top10
TRINITY_DN117635_c0_g1_i2	0.252891004	Brain_fmean	G27	top10
TRINITY_DN128378_c1_g1_i4	0.254642032	Brain_mmean	G27	top10
TRINITY_DN126036_c6_g4_i2	0.072674613	G27_fmean	G27	top10
TRINITY_DN130053_c2_g1_i8	0.417878165	Brain_mmean	G27	top10
TRINITY_DN123039_c0_g1_i1	0.196058718	G23_mmean	G27	top10
TRINITY_DN120808_c0_g1_i3	0.610994432	Brain_mmean	G27	top10
TRINITY_DN125335_c6_g1_i7	0.64766903	G27_mmean	G27	top10
TRINITY_DN132393_c0_g2_i3	0.28762733	Brain_fmean	G27	top10
TRINITY_DN121119_c0_g1_i1	0.403957083	Brain_mmean	G27	top10
TRINITY_DN121188_c0_g1_i1	0.213282631	Ovary_mean	G27	top10
TRINITY_DN126192_c3_g2_i13	0.294772392	Ovary_mean	G27	top10
TRINITY_DN124436_c6_g1_i1	0.122066268	Brain_fmean	G27	top10
TRINITY_DN122034_c0_g3_i2	0.502966073	Ovary_mean	G27	top10
TRINITY_DN133994_c4_g2_i1	0.149008093	G43_M_mean	G27	top10
TRINITY_DN132687_c4_g1_i1	0.275272155	G27_mmean	G27	top10
TRINITY_DN134393_c11_g3_i1	0.268547633	G23_mmean	G27	top10
TRINITY_DN128525_c0_g1_i1	0.242177497	G43_F_mean	G27	top10
TRINITY_DN120904_c0_g2_i3	0.172535228	G23_fmean	G27	top10
TRINITY_DN109776_c0_g1_i1	0.730802764	G27_fmean	G27	top10
TRINITY_DN135450_c0_g1_i9	0.333546775	Ovary_mean	G27	top10
TRINITY_DN129919_c0_g2_i13	0.143018344	Ovary_mean	G27	top10
TRINITY_DN136615_c4_g4_i1	0.379776833	Ovary_mean	G27	top10
TRINITY_DN132924_c0_g3_i1	0.674714146	G31_mmean	G27	top10
TRINITY_DN127861_c1_g3_i1	0.205775087	Testis_mean	G27	top10
TRINITY_DN125284_c3_g3_i1	0.237652112	Ovary_mean	G27	top10
TRINITY_DN115566_c0_g1_i1	0.283555572	G43_M_mean	G27	top10
TRINITY_DN111747_c0_g1_i1	0.297215127	Ovary_mean	G27	top10
TRINITY_DN128768_c3_g1_i4	0.355139081	Liver_mmean	G27	top10
TRINITY_DN126370_c0_g1_i2	0.348482979	Brain_mmean	G27	top10
TRINITY_DN127734_c0_g1_i3	0.09341619	Brain_mmean	G27	top10
TRINITY_DN119650_c0_g2_i1	0.106643344	Brain_fmean	G27	top10
TRINITY_DN136026_c0_g1_i9	0.59797883	G46_F_mean	G27	top10
TRINITY_DN123157_c0_g1_i1	0.816038133	G31_fmean	G27	top10
TRINITY_DN124385_c4_g1_i3	0.206146321	G23_fmean	G27	top10
TRINITY_DN133014_c5_g1_i1	0.254898252	Brain_mmean	G27	top10
TRINITY_DN118707_c0_g1_i1	0.135615192	G46_M_mean	G27	top10
TRINITY_DN107774_c0_g1_i2	0.233174819	Ovary_mean	G27	top10
TRINITY_DN119361_c0_g1_i4	0.646581123	G27_fmean	G27	top10
TRINITY_DN125256_c2_g1_i2	0.166235119	G23_mmean	G27	top10
TRINITY_DN130721_c1_g2_i1	0.087720693	Testis_mean	G27	top10
TRINITY_DN128119_c1_g1_i2	0.07542341	Testis_mean	G27	top10
TRINITY_DN131266_c3_g3_i1	0.19825808	Brain_mmean	G27	top10
TRINITY_DN133140_c4_g1_i1	0.268589487	G23_fmean	G27	top10
